Entry	Entry name	Status	Protein names	Gene names	Organism	Cross-reference (InterPro)	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Length
Q8TDD1	DDX54_HUMAN	reviewed	ATP-dependent RNA helicase DDX54 (EC 3.6.4.13) (ATP-dependent RNA helicase DP97) (DEAD box RNA helicase 97 kDa) (DEAD box protein 54)	DDX54	Homo sapiens (Human)	IPR012541;IPR033517;IPR011545;IPR014001;IPR001650;IPR027417;IPR000629;IPR014014;	intracellular estrogen receptor signaling pathway [GO:0030520]; regulation of transcription, DNA-templated [GO:0006355]; RNA metabolic process [GO:0016070]; RNA processing [GO:0006396]; RNA secondary structure unwinding [GO:0010501]; transcription, DNA-templated [GO:0006351]	cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleus [GO:0005634]	ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; estrogen receptor binding [GO:0030331]; receptor binding [GO:0005102]; RNA binding [GO:0003723]; transcription corepressor activity [GO:0003714]	881
Q9NY93	DDX56_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX56 (EC 3.6.4.13) (ATP-dependent 61 kDa nucleolar RNA helicase) (DEAD box protein 21) (DEAD box protein 56)	DDX56 DDX21 NOH61	Homo sapiens (Human)	IPR011545;IPR014001;IPR001650;IPR027417;IPR014014;	positive regulation of neuron projection development [GO:0010976]; RNA secondary structure unwinding [GO:0010501]; rRNA processing [GO:0006364]	cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleolus [GO:0005730]	ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; RNA binding [GO:0003723]	547
Q7L2E3	DHX30_HUMAN	reviewed	Putative ATP-dependent RNA helicase DHX30 (EC 3.6.4.13) (DEAH box protein 30)	DHX30 DDX30 KIAA0890	Homo sapiens (Human)	IPR011545;IPR002464;IPR011709;IPR007502;IPR014001;IPR001650;IPR027417;	mitochondrial large ribosomal subunit assembly [GO:1902775]; RNA processing [GO:0006396]	cytosol [GO:0005829]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; ribonucleoprotein granule [GO:0035770]	ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; chromatin binding [GO:0003682]; double-stranded RNA binding [GO:0003725]; RNA binding [GO:0003723]	1194
Q08211	DHX9_HUMAN	reviewed	ATP-dependent RNA helicase A (EC 3.6.4.13) (DEAH box protein 9) (DExH-box helicase 9) (Leukophysin) (LKP) (Nuclear DNA helicase II) (NDH II) (RNA helicase A)	DHX9 DDX9 LKP NDH2	Homo sapiens (Human)	IPR011545;IPR002464;IPR014720;IPR011709;IPR007502;IPR014001;IPR001650;IPR027417;	alternative mRNA splicing, via spliceosome [GO:0000380]; cellular response to exogenous dsRNA [GO:0071360]; cellular response to tumor necrosis factor [GO:0071356]; CRD-mediated mRNA stabilization [GO:0070934]; DNA duplex unwinding [GO:0032508]; DNA replication [GO:0006260]; DNA-templated transcription, termination [GO:0006353]; DNA-templated viral transcription [GO:0039695]; G-quadruplex DNA unwinding [GO:0044806]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; mRNA splicing, via spliceosome [GO:0000398]; mRNA transport [GO:0051028]; osteoblast differentiation [GO:0001649]; positive regulation of cytoplasmic translation [GO:2000767]; positive regulation of DNA repair [GO:0045739]; positive regulation of DNA replication [GO:0045740]; positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity [GO:2000373]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of gene silencing by miRNA [GO:2000637]; positive regulation of inflammatory response [GO:0050729]; positive regulation of innate immune response [GO:0045089]; positive regulation of interferon-alpha secretion [GO:1902741]; positive regulation of interferon-beta secretion [GO:0035549]; positive regulation of interleukin-18 production [GO:0032741]; positive regulation of interleukin-6 secretion [GO:2000778]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of polysome binding [GO:1905698]; positive regulation of response to cytokine stimulus [GO:0060760]; positive regulation of RNA export from nucleus [GO:0046833]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of tumor necrosis factor secretion [GO:1904469]; positive regulation of type I interferon production [GO:0032481]; positive regulation of viral transcription [GO:0050434]; positive regulation of viral translation [GO:1904973]; protein localization to cytoplasmic stress granule [GO:1903608]; pyroptosis [GO:0070269]; regulation of cytoplasmic translation [GO:2000765]; regulation of defense response to virus by host [GO:0050691]; regulation of mRNA processing [GO:0050684]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; rhythmic process [GO:0048511]; RNA processing [GO:0006396]; RNA secondary structure unwinding [GO:0010501]; small RNA loading onto RISC [GO:0070922]; targeting of mRNA for destruction involved in RNA interference [GO:0030423]	actin cytoskeleton [GO:0015629]; centrosome [GO:0005813]; CRD-mediated mRNA stability complex [GO:0070937]; cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; micro-ribonucleoprotein complex [GO:0035068]; nuclear body [GO:0016604]; nuclear stress granule [GO:0097165]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perichromatin fibrils [GO:0005726]; polysomal ribosome [GO:0042788]; polysome [GO:0005844]; protein complex [GO:0043234]; RISC-loading complex [GO:0070578]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; ATP-dependent 3'-5' DNA/RNA helicase activity [GO:0033681]; ATP-dependent 3'-5' DNA helicase activity [GO:0043140]; ATP-dependent 3'-5' RNA helicase activity [GO:0034459]; ATP-dependent DNA helicase activity [GO:0004003]; ATP-dependent RNA helicase activity [GO:0004004]; chromatin DNA binding [GO:0031490]; core promoter binding [GO:0001047]; DNA binding [GO:0003677]; DNA replication origin binding [GO:0003688]; double-stranded DNA binding [GO:0003690]; double-stranded RNA binding [GO:0003725]; importin-alpha family protein binding [GO:0061676]; metal ion binding [GO:0046872]; mRNA binding [GO:0003729]; nucleoside-triphosphatase activity [GO:0017111]; nucleoside-triphosphate diphosphatase activity [GO:0047429]; polysome binding [GO:1905538]; promoter-specific chromatin binding [GO:1990841]; regulatory region RNA binding [GO:0001069]; RISC complex binding [GO:1905172]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; RNA polymerase binding [GO:0070063]; RNA polymerase II core binding [GO:0000993]; RNA polymerase II transcription coactivator activity [GO:0001105]; RNA polymerase II transcription cofactor activity [GO:0001104]; RNA polymerase II transcription factor binding [GO:0001085]; RNA stem-loop binding [GO:0035613]; sequence-specific mRNA binding [GO:1990825]; single-stranded DNA binding [GO:0003697]; single-stranded DNA-dependent ATP-dependent 3'-5' DNA helicase activity [GO:1990518]; single-stranded RNA binding [GO:0003727]; siRNA binding [GO:0035197]; triplex DNA binding [GO:0045142]	1270
Q9NP87	DPOLM_HUMAN	reviewed	DNA-directed DNA/RNA polymerase mu (Pol Mu) (EC 2.7.7.7) (Terminal transferase)	POLM polmu	Homo sapiens (Human)	IPR001357;IPR036420;IPR002054;IPR027249;IPR019843;IPR010996;IPR028207;IPR018944;IPR027421;IPR037160;IPR022312;IPR029398;IPR001726;	B cell differentiation [GO:0030183]; DNA recombination [GO:0006310]; double-strand break repair via nonhomologous end joining [GO:0006303]; somatic hypermutation of immunoglobulin genes [GO:0016446]	nucleoplasm [GO:0005654]	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]	494
P13639	EF2_HUMAN	reviewed	Elongation factor 2 (EF-2)	EEF2 EF2	Homo sapiens (Human)	IPR035647;IPR000640;IPR004161;IPR031157;IPR027417;IPR020568;IPR014721;IPR005225;IPR000795;IPR009000;IPR005517;	aging [GO:0007568]; cellular response to brain-derived neurotrophic factor stimulus [GO:1990416]; glial cell proliferation [GO:0014009]; hematopoietic progenitor cell differentiation [GO:0002244]; neutrophil degranulation [GO:0043312]; peptidyl-diphthamide biosynthetic process from peptidyl-histidine [GO:0017183]; positive regulation of cytoplasmic translation [GO:2000767]; positive regulation of translation [GO:0045727]; protein methylation [GO:0006479]; response to drug [GO:0042493]; response to endoplasmic reticulum stress [GO:0034976]; response to estradiol [GO:0032355]; response to ethanol [GO:0045471]; response to folic acid [GO:0051593]; response to hydrogen peroxide [GO:0042542]; response to ischemia [GO:0002931]; skeletal muscle cell differentiation [GO:0035914]; skeletal muscle contraction [GO:0003009]; translational elongation [GO:0006414]	aggresome [GO:0016235]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; membrane raft [GO:0045121]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; polysomal ribosome [GO:0042788]; secretory granule lumen [GO:0034774]	5S rRNA binding [GO:0008097]; actin filament binding [GO:0051015]; cadherin binding [GO:0045296]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; p53 binding [GO:0002039]; protein kinase binding [GO:0019901]; ribosome binding [GO:0043022]; RNA binding [GO:0003723]; translation elongation factor activity [GO:0003746]	858
Q15717	ELAV1_HUMAN	reviewed	ELAV-like protein 1 (Hu-antigen R) (HuR)	ELAVL1 HUR	Homo sapiens (Human)	IPR006548;IPR034775;IPR002343;IPR034996;IPR035979;IPR000504;	3'-UTR-mediated mRNA stabilization [GO:0070935]; mRNA splicing, via spliceosome [GO:0000398]; mRNA stabilization [GO:0048255]; multicellular organism development [GO:0007275]; negative regulation of gene silencing by miRNA [GO:0060965]; positive regulation of translation [GO:0045727]; regulation of mRNA stability [GO:0043488]; regulation of stem cell population maintenance [GO:2000036]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]	AU-rich element binding [GO:0017091]; double-stranded RNA binding [GO:0003725]; mRNA 3'-UTR AU-rich region binding [GO:0035925]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; RNA binding [GO:0003723]	326
Q12926	ELAV2_HUMAN	reviewed	ELAV-like protein 2 (ELAV-like neuronal protein 1) (Hu-antigen B) (HuB) (Nervous system-specific RNA-binding protein Hel-N1)	ELAVL2 HUB	Homo sapiens (Human)	IPR006548;IPR034775;IPR034999;IPR034914;IPR002343;IPR035979;IPR000504;	mRNA splicing, via spliceosome [GO:0000398]; regulation of transcription, DNA-templated [GO:0006355]	nucleoplasm [GO:0005654]	mRNA 3'-UTR binding [GO:0003730]; RNA binding [GO:0003723]	359
Q9NZB2	F120A_HUMAN	reviewed	Constitutive coactivator of PPAR-gamma-like protein 1 (Oxidative stress-associated Src activator) (Protein FAM120A)	FAM120A C9orf10 KIAA0183 OSSA	Homo sapiens (Human)	IPR026784;IPR029060;		cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	RNA binding [GO:0003723]	1118
P22087	FBRL_HUMAN	reviewed	rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (34 kDa nucleolar scleroderma antigen) (Histone-glutamine methyltransferase)	FBL FIB1 FLRN	Homo sapiens (Human)	IPR000692;IPR020813;IPR029063;	box C/D snoRNA 3'-end processing [GO:0000494]; histone glutamine methylation [GO:1990258]; osteoblast differentiation [GO:0001649]; rRNA methylation [GO:0031167]; rRNA processing [GO:0006364]; snoRNA localization [GO:0048254]; tRNA processing [GO:0008033]	box C/D snoRNP complex [GO:0031428]; Cajal body [GO:0015030]; chromosome [GO:0005694]; dense fibrillar component [GO:0001651]; extracellular exosome [GO:0070062]; fibrillar center [GO:0001650]; granular component [GO:0001652]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; small-subunit processome [GO:0032040]	ATPase binding [GO:0051117]; histone-glutamine methyltransferase activity [GO:1990259]; RNA binding [GO:0003723]; rRNA methyltransferase activity [GO:0008649]; TFIID-class transcription factor binding [GO:0001094]	321
Q96AE4	FUBP1_HUMAN	reviewed	Far upstream element-binding protein 1 (FBP) (FUSE-binding protein 1) (DNA helicase V) (hDH V)	FUBP1	Homo sapiens (Human)	IPR015096;IPR004087;IPR004088;IPR036612;	positive regulation of gene expression [GO:0010628]; transcription from RNA polymerase II promoter [GO:0006366]	nucleus [GO:0005634]	DNA binding transcription factor activity [GO:0003700]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]	644
Q92945	FUBP2_HUMAN	reviewed	Far upstream element-binding protein 2 (FUSE-binding protein 2) (KH type-splicing regulatory protein) (KSRP) (p75)	KHSRP FUBP2	Homo sapiens (Human)	IPR015096;IPR004087;IPR004088;IPR036612;	3'-UTR-mediated mRNA destabilization [GO:0061158]; cellular response to cytokine stimulus [GO:0071345]; miRNA metabolic process [GO:0010586]; mRNA catabolic process [GO:0006402]; mRNA processing [GO:0006397]; mRNA transport [GO:0051028]; negative regulation of nitric oxide biosynthetic process [GO:0045019]; positive regulation of mRNA catabolic process [GO:0061014]; regulation of miRNA metabolic process [GO:2000628]; regulation of mRNA stability [GO:0043488]; regulation of transcription, DNA-templated [GO:0006355]; RNA splicing [GO:0008380]; RNA splicing, via transesterification reactions [GO:0000375]; transcription, DNA-templated [GO:0006351]	cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654]	DNA binding [GO:0003677]; mRNA 3'-UTR AU-rich region binding [GO:0035925]; RNA binding [GO:0003723]	711
Q96I24	FUBP3_HUMAN	reviewed	Far upstream element-binding protein 3 (FUSE-binding protein 3)	FUBP3 FBP3	Homo sapiens (Human)	IPR004087;IPR004088;IPR036612;	positive regulation of gene expression [GO:0010628]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; transcription, DNA-templated [GO:0006351]	cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleus [GO:0005634]	RNA binding [GO:0003723]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0001077]	572
P31943	HNRH1_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein H (hnRNP H) [Cleaved into: Heterogeneous nuclear ribonucleoprotein H, N-terminally processed]	HNRNPH1 HNRPH HNRPH1	Homo sapiens (Human)	IPR035979;IPR000504;IPR012996;	fibroblast growth factor receptor signaling pathway [GO:0008543]; mRNA splicing, via spliceosome [GO:0000398]; regulation of RNA splicing [GO:0043484]; RNA metabolic process [GO:0016070]; RNA processing [GO:0006396]	catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]	449
P07910	HNRPC_HUMAN	reviewed	Heterogeneous nuclear ribonucleoproteins C1/C2 (hnRNP C1/C2)	HNRNPC HNRPC	Homo sapiens (Human)	IPR017347;IPR035979;IPR000504;	3'-UTR-mediated mRNA stabilization [GO:0070935]; ATP-dependent chromatin remodeling [GO:0043044]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of telomere maintenance via telomerase [GO:0032211]; osteoblast differentiation [GO:0001649]; RNA metabolic process [GO:0016070]; RNA splicing [GO:0008380]	actin cytoskeleton [GO:0015629]; catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; membrane [GO:0016020]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein complex [GO:0043234]; spliceosomal complex [GO:0005681]	identical protein binding [GO:0042802]; mRNA 3'-UTR binding [GO:0003730]; N6-methyladenosine-containing RNA binding [GO:1990247]; nucleosomal DNA binding [GO:0031492]; poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; telomerase RNA binding [GO:0070034]	306
