Query	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Cross-reference (InterPro)	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)
Q12929	Q12929	EPS8_HUMAN	reviewed	Epidermal growth factor receptor kinase substrate 8	EPS8	Homo sapiens (Human)	822	IPR030222;IPR033928;IPR035462;IPR011993;IPR013625;IPR006020;IPR036028;IPR001452;	actin crosslink formation [GO:0051764]; actin cytoskeleton reorganization [GO:0031532]; actin filament bundle assembly [GO:0051017]; actin polymerization-dependent cell motility [GO:0070358]; adult locomotory behavior [GO:0008344]; barbed-end actin filament capping [GO:0051016]; behavioral response to ethanol [GO:0048149]; cell proliferation [GO:0008283]; cellular response to leukemia inhibitory factor [GO:1990830]; dendritic cell migration [GO:0036336]; epidermal growth factor receptor signaling pathway [GO:0007173]; exit from mitosis [GO:0010458]; Rac protein signal transduction [GO:0016601]; regulation of actin filament length [GO:0030832]; regulation of cell shape [GO:0008360]; signal transduction [GO:0007165]	brush border [GO:0005903]; cell cortex [GO:0005938]; cell junction [GO:0030054]; extracellular exosome [GO:0070062]; growth cone [GO:0030426]; NMDA selective glutamate receptor complex [GO:0017146]; postsynaptic density [GO:0014069]; ruffle membrane [GO:0032587]; stereocilium [GO:0032420]; stereocilium tip [GO:0032426]; vesicle [GO:0031982]	actin binding [GO:0003779]; Rac GTPase binding [GO:0048365]; SH3/SH2 adaptor activity [GO:0005070]
Q32P51	Q32P51	RA1L2_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein A1-like 2 (hnRNP A1-like 2) (hnRNP core protein A1-like 2)	HNRNPA1L2 HNRNPA1L	Homo sapiens (Human)	320	IPR021662;IPR034803;IPR035979;IPR000504;	mRNA processing [GO:0006397]; mRNA transport [GO:0051028]; RNA splicing [GO:0008380]	cytoplasm [GO:0005737]; spliceosomal complex [GO:0005681]	RNA binding [GO:0003723]
O75592	O75592	MYCB2_HUMAN	reviewed	E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.27) (Myc-binding protein 2) (Pam/highwire/rpm-1 protein) (Protein associated with Myc) (RING-type E3 ubiquitin transferase MYCBP2)	MYCBP2 KIAA0916 PAM	Homo sapiens (Human)	4640	IPR004939;IPR017868;IPR008979;IPR013783;IPR014756;IPR012983;IPR009091;IPR000408;IPR003646;IPR001841;IPR013083;	protein ubiquitination [GO:0016567]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	membrane [GO:0016020]; nucleus [GO:0005634]	metal ion binding [GO:0046872]; transferase activity [GO:0016740]
Q9NVE7	Q9NVE7	PANK4_HUMAN	reviewed	Pantothenate kinase 4 (hPanK4) (EC 2.7.1.33) (Pantothenic acid kinase 4)	PANK4	Homo sapiens (Human)	773	IPR036075;IPR035073;IPR002791;IPR015844;IPR004567;	coenzyme A biosynthetic process [GO:0015937]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; pantothenate kinase activity [GO:0004594]
Q15149	Q15149	PLEC_HUMAN	reviewed	Plectin (PCN) (PLTN) (Hemidesmosomal protein 1) (HD1) (Plectin-1)	PLEC PLEC1	Homo sapiens (Human)	4684	IPR001589;IPR036872;IPR001715;IPR035915;IPR030269;IPR001101;IPR005326;IPR018159;	hemidesmosome assembly [GO:0031581]	brush border [GO:0005903]; costamere [GO:0043034]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; hemidesmosome [GO:0030056]; intermediate filament cytoskeleton [GO:0045111]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; sarcoplasm [GO:0016528]	actin binding [GO:0003779]; ankyrin binding [GO:0030506]; cadherin binding [GO:0045296]; RNA binding [GO:0003723]; structural constituent of muscle [GO:0008307]
Q7Z333	Q7Z333	SETX_HUMAN	reviewed	Probable helicase senataxin (EC 3.6.4.-) (Amyotrophic lateral sclerosis 4 protein) (SEN1 homolog) (Senataxin)	SETX ALS4 KIAA0625 SCAR1	Homo sapiens (Human)	2677	IPR027417;	cellular response to DNA damage stimulus [GO:0006974]; cellular response to fibroblast growth factor stimulus [GO:0044344]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to oxidative stress [GO:0034599]; cellular response to retinoic acid [GO:0071300]; circadian rhythm [GO:0007623]; DNA recombination [GO:0006310]; DNA-templated transcription, termination [GO:0006353]; double-strand break repair [GO:0006302]; fibroblast growth factor receptor signaling pathway [GO:0008543]; MAPK cascade [GO:0000165]; mRNA splice site selection [GO:0006376]; negative regulation of apoptotic process [GO:0043066]; positive regulation of DNA-templated transcription, initiation [GO:2000144]; positive regulation of DNA-templated transcription, termination [GO:0060566]; positive regulation of neuron projection development [GO:0010976]; positive regulation of RNA splicing [GO:0033120]; positive regulation of termination of RNA polymerase II transcription, poly(A)-coupled [GO:2000806]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; protein kinase B signaling [GO:0043491]; RNA processing [GO:0006396]; spermatogenesis [GO:0007283]; termination of RNA polymerase II transcription [GO:0006369]	axon [GO:0030424]; chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; growth cone [GO:0030426]; intercellular bridge [GO:0045171]; nuclear body [GO:0016604]; nuclear chromosome [GO:0000228]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; identical protein binding [GO:0042802]; transcription termination site sequence-specific DNA binding [GO:0001147]
Q9P273	Q9P273	TEN3_HUMAN	reviewed	Teneurin-3 (Ten-3) (Protein Odd Oz/ten-m homolog 3) (Tenascin-M3) (Ten-m3) (Teneurin transmembrane protein 3)	TENM3 KIAA1455 ODZ3 TNM3	Homo sapiens (Human)	2699	IPR011042;IPR008969;IPR013032;IPR000742;IPR022385;IPR027689;IPR009471;IPR028916;IPR036322;IPR006530;	camera-type eye morphogenesis [GO:0048593]; cell morphogenesis [GO:0000902]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; neuron development [GO:0048666]; positive regulation of neuron projection development [GO:0010976]; self proteolysis [GO:0097264]; signal transduction [GO:0007165]	axon [GO:0030424]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; neuron projection [GO:0043005]	cell adhesion molecule binding [GO:0050839]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]
O15164	O15164	TIF1A_HUMAN	reviewed	Transcription intermediary factor 1-alpha (TIF1-alpha) (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM24) (RING finger protein 82) (RING-type E3 ubiquitin transferase TIF1-alpha) (Tripartite motif-containing protein 24)	TRIM24 RNF82 TIF1 TIF1A	Homo sapiens (Human)	1050	IPR003649;IPR001487;IPR036427;IPR018359;IPR019786;IPR000315;IPR011011;IPR001965;IPR019787;IPR001841;IPR013083;IPR017907;	calcium ion homeostasis [GO:0055074]; cellular response to estrogen stimulus [GO:0071391]; negative regulation of cell proliferation [GO:0008285]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of transcription, DNA-templated [GO:0045893]; protein autophosphorylation [GO:0046777]; protein catabolic process [GO:0030163]; protein ubiquitination [GO:0016567]; regulation of apoptotic process [GO:0042981]; regulation of protein stability [GO:0031647]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of vitamin D receptor signaling pathway [GO:0070562]; transcription from RNA polymerase II promoter [GO:0006366]	cytosol [GO:0005829]; nuclear euchromatin [GO:0005719]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perichromatin fibrils [GO:0005726]	chromatin binding [GO:0003682]; estrogen response element binding [GO:0034056]; ligand-dependent nuclear receptor binding [GO:0016922]; lysine-acetylated histone binding [GO:0070577]; p53 binding [GO:0002039]; protein tyrosine kinase activity [GO:0004713]; receptor binding [GO:0005102]; sequence-specific DNA binding [GO:0043565]; transcription coactivator activity [GO:0003713]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
Q2M2I8	Q2M2I8	AAK1_HUMAN	reviewed	AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1)	AAK1 KIAA1048	Homo sapiens (Human)	961	IPR011009;IPR000719;IPR008271;IPR015943;	endocytosis [GO:0006897]; membrane organization [GO:0061024]; positive regulation of Notch signaling pathway [GO:0045747]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; protein stabilization [GO:0050821]; regulation of clathrin-dependent endocytosis [GO:2000369]; regulation of protein localization [GO:0032880]	cell leading edge [GO:0031252]; clathrin-coated pit [GO:0005905]; clathrin-coated vesicle [GO:0030136]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extrinsic component of plasma membrane [GO:0019897]; terminal bouton [GO:0043195]	AP-2 adaptor complex binding [GO:0035612]; ATP binding [GO:0005524]; Notch binding [GO:0005112]; protein serine/threonine kinase activity [GO:0004674]
Q06481	Q06481	APLP2_HUMAN	reviewed	Amyloid-like protein 2 (APLP-2) (APPH) (Amyloid protein homolog) (CDEI box-binding protein) (CDEBP)	APLP2 APPL2	Homo sapiens (Human)	763	IPR036669;IPR008155;IPR011178;IPR024329;IPR008154;IPR019744;IPR015849;IPR036454;IPR019745;IPR019543;IPR036176;IPR002223;IPR036880;IPR020901;	cellular protein metabolic process [GO:0044267]; G-protein coupled receptor signaling pathway [GO:0007186]; platelet degranulation [GO:0002576]; post-translational protein modification [GO:0043687]	endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; platelet alpha granule membrane [GO:0031092]	DNA binding [GO:0003677]; heparin binding [GO:0008201]; identical protein binding [GO:0042802]; serine-type endopeptidase inhibitor activity [GO:0004867]; transition metal ion binding [GO:0046914]
P56945	P56945	BCAR1_HUMAN	reviewed	Breast cancer anti-estrogen resistance protein 1 (CRK-associated substrate) (Cas scaffolding protein family member 1) (p130cas)	BCAR1 CAS CASS1 CRKAS	Homo sapiens (Human)	870	IPR028848;IPR035745;IPR021901;IPR037362;IPR014928;IPR036028;IPR001452;	actin filament organization [GO:0007015]; antigen receptor-mediated signaling pathway [GO:0050851]; B cell receptor signaling pathway [GO:0050853]; cell adhesion [GO:0007155]; cell chemotaxis [GO:0060326]; cell division [GO:0051301]; cell migration [GO:0016477]; cell proliferation [GO:0008283]; cellular response to hepatocyte growth factor stimulus [GO:0035729]; epidermal growth factor receptor signaling pathway [GO:0007173]; G-protein coupled receptor signaling pathway [GO:0007186]; hepatocyte growth factor receptor signaling pathway [GO:0048012]; insulin receptor signaling pathway [GO:0008286]; integrin-mediated signaling pathway [GO:0007229]; neurotrophin TRK receptor signaling pathway [GO:0048011]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; positive regulation of cell migration [GO:0030335]; positive regulation of endothelial cell migration [GO:0010595]; regulation of apoptotic process [GO:0042981]; regulation of cell growth [GO:0001558]; T cell receptor signaling pathway [GO:0050852]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; lamellipodium [GO:0030027]; ruffle [GO:0001726]	protein kinase binding [GO:0019901]; SH3 domain binding [GO:0017124]; signal transducer activity [GO:0004871]
Q9UNZ5	Q9UNZ5	L10K_HUMAN	reviewed	Leydig cell tumor 10 kDa protein homolog	C19orf53 HSPC023	Homo sapiens (Human)	99	IPR019034;		nucleolus [GO:0005730]; nucleus [GO:0005634]	
Q49A88	Q49A88	CCD14_HUMAN	reviewed	Coiled-coil domain-containing protein 14	CCDC14	Homo sapiens (Human)	953	IPR029343;	protein localization to centrosome [GO:0071539]; substantia nigra development [GO:0021762]	centriolar satellite [GO:0034451]; centrosome [GO:0005813]	
O60610	O60610	DIAP1_HUMAN	reviewed	Protein diaphanous homolog 1 (Diaphanous-related formin-1) (DRF1)	DIAPH1 DIAP1	Homo sapiens (Human)	1272	IPR011989;IPR016024;IPR014767;IPR010465;IPR015425;IPR010472;IPR027653;IPR009408;IPR014768;IPR010473;	actin filament polymerization [GO:0030041]; cellular response to histamine [GO:0071420]; cytoskeleton organization [GO:0007010]; neutrophil degranulation [GO:0043312]; positive regulation of cell migration [GO:0030335]; protein localization to microtubule [GO:0035372]; regulation of cell motility [GO:2000145]; regulation of cell shape [GO:0008360]; regulation of cytoskeleton organization [GO:0051493]; regulation of microtubule-based process [GO:0032886]; regulation of release of sequestered calcium ion into cytosol [GO:0051279]; sensory perception of sound [GO:0007605]	cytosol [GO:0005829]; ficolin-1-rich granule membrane [GO:0101003]; microtubule organizing center [GO:0005815]; mitotic spindle [GO:0072686]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]; secretory granule membrane [GO:0030667]	actin binding [GO:0003779]; ion channel binding [GO:0044325]; receptor binding [GO:0005102]; Rho GTPase binding [GO:0017048]; RNA binding [GO:0003723]
Q9Y485	Q9Y485	DMXL1_HUMAN	reviewed	DmX-like protein 1 (X-like 1 protein)	DMXL1 XL1	Homo sapiens (Human)	3027	IPR022033;IPR015943;IPR001680;IPR017986;IPR036322;	vacuolar acidification [GO:0007035]; vacuolar proton-transporting V-type ATPase complex assembly [GO:0070072]	RAVE complex [GO:0043291]	
O00303	O00303	EIF3F_HUMAN	reviewed	Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)	EIF3F EIF3S5	Homo sapiens (Human)	357	IPR027531;IPR000555;IPR037518;IPR024969;	IRES-dependent viral translational initiation [GO:0075522]; protein deubiquitination [GO:0016579]; translational initiation [GO:0006413]	cytosol [GO:0005829]; eukaryotic translation initiation factor 3 complex [GO:0005852]; eukaryotic translation initiation factor 3 complex, eIF3m [GO:0071541]; membrane [GO:0016020]	thiol-dependent ubiquitin-specific protease activity [GO:0004843]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]
Q8N8S7	Q8N8S7	ENAH_HUMAN	reviewed	Protein enabled homolog	ENAH MENA	Homo sapiens (Human)	591	IPR011993;IPR014885;IPR015943;IPR000697;	axon guidance [GO:0007411]	cell junction [GO:0030054]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; filopodium [GO:0030175]; focal adhesion [GO:0005925]; lamellipodium [GO:0030027]; plasma membrane [GO:0005886]; synapse [GO:0045202]	actin binding [GO:0003779]; SH3 domain binding [GO:0017124]; WW domain binding [GO:0050699]
P35556	P35556	FBN2_HUMAN	reviewed	Fibrillin-2 [Cleaved into: Fibrillin-2 C-terminal peptide]	FBN2	Homo sapiens (Human)	2912	IPR026823;IPR001881;IPR013032;IPR000742;IPR000152;IPR018097;IPR011398;IPR009030;IPR017878;IPR036773;	bone trabecula formation [GO:0060346]; camera-type eye development [GO:0043010]; embryonic eye morphogenesis [GO:0048048]; embryonic limb morphogenesis [GO:0030326]; extracellular matrix disassembly [GO:0022617]; extracellular matrix organization [GO:0030198]; positive regulation of bone mineralization [GO:0030501]; positive regulation of osteoblast differentiation [GO:0045669]; regulation of cellular response to growth factor stimulus [GO:0090287]; sequestering of TGFbeta in extracellular matrix [GO:0035583]	extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; microfibril [GO:0001527]; proteinaceous extracellular matrix [GO:0005578]	calcium ion binding [GO:0005509]; extracellular matrix constituent conferring elasticity [GO:0030023]; extracellular matrix structural constituent [GO:0005201]
Q14318	Q14318	FKBP8_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase FKBP8 (PPIase FKBP8) (EC 5.2.1.8) (38 kDa FK506-binding protein) (38 kDa FKBP) (FKBP-38) (hFKBP38) (FK506-binding protein 8) (FKBP-8) (FKBPR38) (Rotamase)	FKBP8 FKBP38	Homo sapiens (Human)	412	IPR023566;IPR001179;IPR013026;IPR011990;IPR013105;IPR019734;	apoptotic process [GO:0006915]; camera-type eye development [GO:0043010]; cell fate specification [GO:0001708]; chaperone-mediated protein folding [GO:0061077]; dorsal/ventral neural tube patterning [GO:0021904]; intracellular signal transduction [GO:0035556]; multicellular organism growth [GO:0035264]; negative regulation of apoptotic process [GO:0043066]; negative regulation of protein phosphorylation [GO:0001933]; positive regulation of BMP signaling pathway [GO:0030513]; smoothened signaling pathway [GO:0007224]; viral process [GO:0016032]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; integral component of endoplasmic reticulum membrane [GO:0030176]; membrane [GO:0016020]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; protein complex [GO:0043234]	disordered domain specific binding [GO:0097718]; FK506 binding [GO:0005528]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]
P84243	P84243	H33_HUMAN	reviewed	Histone H3.3	H3F3A H3.3A H3F3 PP781; H3F3B H3.3B	Homo sapiens (Human)	136	IPR009072;IPR007125;IPR000164;	blood coagulation [GO:0007596]; brain development [GO:0007420]; cell proliferation [GO:0008283]; cellular protein metabolic process [GO:0044267]; chromatin silencing at rDNA [GO:0000183]; DNA replication-independent nucleosome assembly [GO:0006336]; embryo implantation [GO:0007566]; male gonad development [GO:0008584]; multicellular organism growth [GO:0035264]; muscle cell differentiation [GO:0042692]; negative regulation of chromosome condensation [GO:1902340]; negative regulation of gene expression, epigenetic [GO:0045814]; nucleosome assembly [GO:0006334]; nucleus organization [GO:0006997]; oogenesis [GO:0048477]; osteoblast differentiation [GO:0001649]; pericentric heterochromatin assembly [GO:0031508]; positive regulation of cell growth [GO:0030307]; positive regulation of gene expression, epigenetic [GO:0045815]; regulation of centromere complex assembly [GO:0090230]; regulation of gene silencing by miRNA [GO:0060964]; regulation of hematopoietic stem cell differentiation [GO:1902036]; regulation of megakaryocyte differentiation [GO:0045652]; response to hormone [GO:0009725]; single fertilization [GO:0007338]; spermatid development [GO:0007286]; telomere organization [GO:0032200]; telomeric heterochromatin assembly [GO:0031509]	Barr body [GO:0001740]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; nuclear chromosome [GO:0000228]; nuclear chromosome, telomeric region [GO:0000784]; nuclear nucleosome [GO:0000788]; nucleoplasm [GO:0005654]; nucleosome [GO:0000786]; nucleus [GO:0005634]; protein complex [GO:0043234]	histone binding [GO:0042393]; nucleosomal DNA binding [GO:0031492]; protein heterodimerization activity [GO:0046982]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]
Q9ULT8	Q9ULT8	HECD1_HUMAN	reviewed	E3 ubiquitin-protein ligase HECTD1 (EC 2.3.2.26) (E3 ligase for inhibin receptor) (EULIR) (HECT domain-containing protein 1) (HECT-type E3 ubiquitin transferase HECTD1)	HECTD1 KIAA1131	Homo sapiens (Human)	2610	IPR002110;IPR020683;IPR036770;IPR011989;IPR016024;IPR008979;IPR000569;IPR035983;IPR010606;IPR037252;IPR012919;		cytoplasm [GO:0005737]	metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]
