UNIPROT	KEGGID	ID	SYMBOL	GENE_DESCRIPTION
A6NNY8	hsa:389856	389856	USP27X	" ubiquitin specific peptidase 27, X-linked"
A7E2V4	hsa:23053	23053	ZSWIM8	 zinc finger SWIM-type containing 8
A7KAX9	hsa:9743	9743	ARHGAP32	 Rho GTPase activating protein 32
A8K0Z3	hsa:100287171	100287171	WASHC1	 WASH complex subunit 1
A8MT65	hsa:101060200	101060200	ZNF891	 zinc finger protein 891
A8MT69	hsa:201254	201254	CENPX	 centromere protein X
A8MW92	hsa:51105	51105	PHF20L1	 PHD finger protein 20 like 1
A8MXV4	hsa:390916	390916	NUDT19	 nudix hydrolase 19
A9UHW6	hsa:57409	57409	MIF4GD	 MIF4G domain containing
B0YJ81	hsa:9200	9200	HACD1	 3-hydroxyacyl-CoA dehydratase 1
B2RTY4	hsa:4649	4649	MYO9A	 myosin IXA
B7ZAQ6	hsa:653519	653519	GPR89A	 G protein-coupled receptor 89A
C9JLW8	hsa:348262	348262	MCRIP1	 MAPK regulated corepressor interacting protein 1
O00115	hsa:1777	1777	DNASE2	" deoxyribonuclease 2, lysosomal"
O00116	hsa:8540	8540	AGPS	 alkylglycerone phosphate synthase
O00139	hsa:3796	3796	KIF2A	 kinesin family member 2A
O00142	hsa:7084	7084	TK2	" thymidine kinase 2, mitochondrial"
O00148	hsa:10212	10212	DDX39A	 DExD-box helicase 39A
O00151	hsa:9124	9124	PDLIM1	 PDZ and LIM domain 1
O00154	hsa:11332	11332	ACOT7	 acyl-CoA thioesterase 7
O00159	hsa:4641	4641	MYO1C	 myosin IC
O00161	hsa:8773	8773	SNAP23	 synaptosome associated protein 23
O00165	hsa:10456	10456	HAX1	 HCLS1 associated protein X-1
O00170	hsa:9049	9049	AIP	 aryl hydrocarbon receptor interacting protein
O00178	hsa:9567	9567	GTPBP1	 GTP binding protein 1
O00180	hsa:3775	3775	KCNK1	 potassium two pore domain channel subfamily K member 1
O00186	hsa:6814	6814	STXBP3	 syntaxin binding protein 3
O00189	hsa:9179	9179	AP4M1	 adaptor related protein complex 4 mu 1 subunit
O00192	hsa:421	421	ARVCF	 armadillo repeat gene deleted in velocardiofacial syndrome
O00193	hsa:10944	10944	C11orf58	 chromosome 11 open reading frame 58
O00203	hsa:8546	8546	AP3B1	 adaptor related protein complex 3 beta 1 subunit
O00213	hsa:322	322	APBB1	 amyloid beta precursor protein binding family B member 1
O00214	hsa:3964	3964	LGALS8	 galectin 8
O00217	hsa:4728	4728	NDUFS8	 NADH:ubiquinone oxidoreductase core subunit S8
O00221	hsa:4794	4794	NFKBIE	 NFKB inhibitor epsilon
O00231	hsa:5717	5717	PSMD11	" proteasome 26S subunit, non-ATPase 11"
O00232	hsa:5718	5718	PSMD12	" proteasome 26S subunit, non-ATPase 12"
O00233	hsa:5715	5715	PSMD9	" proteasome 26S subunit, non-ATPase 9"
O00244	hsa:475	475	ATOX1	 antioxidant 1 copper chaperone
O00255	hsa:4221	4221	MEN1	 menin 1
O00264	hsa:10857	10857	PGRMC1	 progesterone receptor membrane component 1
O00267	hsa:6829	6829	SUPT5H	" SPT5 homolog, DSIF elongation factor subunit"
O00268	hsa:6874	6874	TAF4	 TATA-box binding protein associated factor 4
O00273	hsa:1676	1676	DFFA	 DNA fragmentation factor subunit alpha
O00287	hsa:5994	5994	RFXAP	 regulatory factor X associated protein
O00291	hsa:3092	3092	HIP1	 huntingtin interacting protein 1
O00299	hsa:1192	1192	CLIC1	 chloride intracellular channel 1
O00303	hsa:8665	8665	EIF3F	 eukaryotic translation initiation factor 3 subunit F
O00308	hsa:11060	11060	WWP2	 WW domain containing E3 ubiquitin protein ligase 2
O00311	hsa:8317	8317	CDC7	 cell division cycle 7
O00327	hsa:406	406	ARNTL	 aryl hydrocarbon receptor nuclear translocator like
O00329	hsa:5293	5293	PIK3CD	" phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"
O00330	hsa:8050	8050	PDHX	 pyruvate dehydrogenase complex component X
O00391	hsa:5768	5768	QSOX1	 quiescin sulfhydryl oxidase 1
O00399	hsa:10671	10671	DCTN6	 dynactin subunit 6
O00400	hsa:9197	9197	SLC33A1	 solute carrier family 33 member 1
O00401	hsa:8976	8976	WASL	 Wiskott-Aldrich syndrome like
O00408	hsa:5138	5138	PDE2A	 phosphodiesterase 2A
O00410	hsa:3843	3843	IPO5	 importin 5
O00411	hsa:5442	5442	POLRMT	 RNA polymerase mitochondrial
O00418	hsa:29904	29904	EEF2K	 eukaryotic elongation factor 2 kinase
O00422	hsa:10284	10284	SAP18	 Sin3A associated protein 18
O00423	hsa:2009	2009	EML1	 echinoderm microtubule associated protein like 1
O00429	hsa:10059	10059	DNM1L	 dynamin 1 like
O00442	hsa:8634	8634	RTCA	 RNA 3'-terminal phosphate cyclase
O00443	hsa:5286	5286	PIK3C2A	 phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha
O00458	hsa:3475	3475	IFRD1	 interferon related developmental regulator 1
O00459	hsa:5296	5296	PIK3R2	 phosphoinositide-3-kinase regulatory subunit 2
O00461	hsa:27333	27333	GOLIM4	 golgi integral membrane protein 4
O00468	hsa:375790	375790	AGRN	 agrin
O00469	hsa:5352	5352	PLOD2	" procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"
O00470	hsa:4211	4211	MEIS1	 Meis homeobox 1
O00471	hsa:10640	10640	EXOC5	 exocyst complex component 5
O00478	hsa:10384	10384	BTN3A3	 butyrophilin subfamily 3 member A3
O00483	hsa:4697	4697	NDUFA4	" NDUFA4, mitochondrial complex associated"
O00487	hsa:10213	10213	PSMD14	" proteasome 26S subunit, non-ATPase 14"
O00488	hsa:51042	51042	ZNF593	 zinc finger protein 593
O00499	hsa:274	274	BIN1	 bridging integrator 1
O00505	hsa:3839	3839	KPNA3	 karyopherin subunit alpha 3
O00506	hsa:10494	10494	STK25	 serine/threonine kinase 25
O00512	hsa:607	607	BCL9	 B-cell CLL/lymphoma 9
O00522	hsa:889	889	KRIT1	" KRIT1, ankyrin repeat containing"
O00534	hsa:4013	4013	VWA5A	 von Willebrand factor A domain containing 5A
O00541	hsa:23481	23481	PES1	 pescadillo ribosomal biogenesis factor 1
O00560	hsa:6386	6386	SDCBP	 syndecan binding protein
O00566	hsa:10199	10199	MPHOSPH10	 M-phase phosphoprotein 10
O00567	hsa:10528	10528	NOP56	 NOP56 ribonucleoprotein
O00571	hsa:1654	1654	DDX3X	" DEAD-box helicase 3, X-linked"
O00584	hsa:8635	8635	RNASET2	 ribonuclease T2
O00592	hsa:5420	5420	PODXL	 podocalyxin like
O00622	hsa:3491	3491	CYR61	 cysteine rich angiogenic inducer 61
O00625	hsa:8544	8544	PIR	 pirin
O00629	hsa:3840	3840	KPNA4	 karyopherin subunit alpha 4
O00635	hsa:10475	10475	TRIM38	 tripartite motif containing 38
O00712	hsa:4781	4781	NFIB	 nuclear factor I B
O00716	hsa:1871	1871	E2F3	 E2F transcription factor 3
O00743	hsa:5537	5537	PPP6C	 protein phosphatase 6 catalytic subunit
O00754	hsa:4125	4125	MAN2B1	 mannosidase alpha class 2B member 1
O00762	hsa:11065	11065	UBE2C	 ubiquitin conjugating enzyme E2 C
O00763	hsa:32	32	ACACB	 acetyl-CoA carboxylase beta
O00764	hsa:8566	8566	PDXK	 pyridoxal kinase
O00767	hsa:6319	6319	SCD	 stearoyl-CoA desaturase
O14494	hsa:8611	8611	PLPP1	 phospholipid phosphatase 1
O14495	hsa:8613	8613	PLPP3	 phospholipid phosphatase 3
O14497	hsa:8289	8289	ARID1A	 AT-rich interaction domain 1A
O14519	hsa:8099	8099	CDK2AP1	 cyclin dependent kinase 2 associated protein 1
O14521	hsa:6392	6392	SDHD	 succinate dehydrogenase complex subunit D
O14524	hsa:23306	23306	NEMP1	 nuclear envelope integral membrane protein 1
O14530	hsa:10190	10190	TXNDC9	 thioredoxin domain containing 9
O14531	hsa:10570	10570	DPYSL4	 dihydropyrimidinase like 4
O14545	hsa:10906	10906	TRAFD1	 TRAF-type zinc finger domain containing 1
O14548	hsa:9167	9167	COX7A2L	 cytochrome c oxidase subunit 7A2 like
O14556	hsa:26330	26330	GAPDHS	" glyceraldehyde-3-phosphate dehydrogenase, spermatogenic"
O14561	hsa:4706	4706	NDUFAB1	 NADH:ubiquinone oxidoreductase subunit AB1
O14562	hsa:56061	56061	UBFD1	 ubiquitin family domain containing 1
O14569	hsa:11068	11068	CYB561D2	 cytochrome b561 family member D2
O14578	hsa:11113	11113	CIT	 citron rho-interacting serine/threonine kinase
O14579	hsa:11316	11316	COPE	 coatomer protein complex subunit epsilon
O14593	hsa:8625	8625	RFXANK	 regulatory factor X associated ankyrin containing protein
O14613	hsa:10435	10435	CDC42EP2	 CDC42 effector protein 2
O14617	hsa:8943	8943	AP3D1	 adaptor related protein complex 3 delta 1 subunit
O14618	hsa:9973	9973	CCS	 copper chaperone for superoxide dismutase
O14639	hsa:3983	3983	ABLIM1	 actin binding LIM protein 1
O14640	hsa:1855	1855	DVL1	 dishevelled segment polarity protein 1
O14641	hsa:1856	1856	DVL2	 dishevelled segment polarity protein 2
O14646	hsa:1105	1105	CHD1	 chromodomain helicase DNA binding protein 1
O14647	hsa:1106	1106	CHD2	 chromodomain helicase DNA binding protein 2
O14653	hsa:9570	9570	GOSR2	 golgi SNAP receptor complex member 2
O14656	hsa:1861	1861	TOR1A	 torsin family 1 member A
O14657	hsa:27348	27348	TOR1B	 torsin family 1 member B
O14662	hsa:8675	8675	STX16	 syntaxin 16
O14672	hsa:102	102	ADAM10	 ADAM metallopeptidase domain 10
O14678	hsa:5826	5826	ABCD4	 ATP binding cassette subfamily D member 4
O14686	hsa:8085	8085	KMT2D	 lysine methyltransferase 2D
O14713	hsa:9270	9270	ITGB1BP1	 integrin subunit beta 1 binding protein 1
O14717	hsa:1787	1787	TRDMT1	 tRNA aspartic acid methyltransferase 1
O14727	hsa:317	317	APAF1	 apoptotic peptidase activating factor 1
O14733	hsa:5609	5609	MAP2K7	 mitogen-activated protein kinase kinase 7
O14734	hsa:10005	10005	ACOT8	 acyl-CoA thioesterase 8
O14735	hsa:10423	10423	CDIPT	 CDP-diacylglycerol--inositol 3-phosphatidyltransferase
O14737	hsa:9141	9141	PDCD5	 programmed cell death 5
O14744	hsa:10419	10419	PRMT5	 protein arginine methyltransferase 5
O14745	hsa:9368	9368	SLC9A3R1	 SLC9A3 regulator 1
O14757	hsa:1111	1111	CHEK1	 checkpoint kinase 1
O14763	hsa:8795	8795	TNFRSF10B	 TNF receptor superfamily member 10b
O14770	hsa:4212	4212	MEIS2	 Meis homeobox 2
O14772	hsa:8790	8790	FPGT	 fucose-1-phosphate guanylyltransferase
O14773	hsa:1200	1200	TPP1	 tripeptidyl peptidase 1
O14775	hsa:10681	10681	GNB5	 G protein subunit beta 5
O14776	hsa:10915	10915	TCERG1	 transcription elongation regulator 1
O14777	hsa:10403	10403	NDC80	" NDC80, kinetochore complex component"
O14786	hsa:8829	8829	NRP1	 neuropilin 1
O14787	hsa:30000	30000	TNPO2	 transportin 2
O14795	hsa:10497	10497	UNC13B	 unc-13 homolog B
O14802	hsa:11128	11128	POLR3A	 RNA polymerase III subunit A
O14817	hsa:7106	7106	TSPAN4	 tetraspanin 4
O14818	hsa:5688	5688	PSMA7	 proteasome subunit alpha 7
O14828	hsa:10067	10067	SCAMP3	 secretory carrier membrane protein 3
O14832	hsa:5264	5264	PHYH	 phytanoyl-CoA 2-hydroxylase
O14841	hsa:26873	26873	OPLAH	 5-oxoprolinase (ATP-hydrolysing)
O14867	hsa:571	571	BACH1	 BTB domain and CNC homolog 1
O14874	hsa:10295	10295	BCKDK	 branched chain ketoacid dehydrogenase kinase
O14880	hsa:4259	4259	MGST3	 microsomal glutathione S-transferase 3
O14893	hsa:8487	8487	GEMIN2	 gem nuclear organelle associated protein 2
O14907	hsa:30851	30851	TAX1BP3	 Tax1 binding protein 3
O14908	hsa:10755	10755	GIPC1	 GIPC PDZ domain containing family member 1
O14920	hsa:3551	3551	IKBKB	 inhibitor of nuclear factor kappa B kinase subunit beta
O14929	hsa:8520	8520	HAT1	 histone acetyltransferase 1
O14933	hsa:9246	9246	UBE2L6	 ubiquitin conjugating enzyme E2 L6
O14936	hsa:8573	8573	CASK	 calcium/calmodulin dependent serine protein kinase
O14939	hsa:5338	5338	PLD2	 phospholipase D2
O14949	hsa:27089	27089	UQCRQ	 ubiquinol-cytochrome c reductase complex III subunit VII
O14964	hsa:9146	9146	HGS	 hepatocyte growth factor-regulated tyrosine kinase substrate
O14965	hsa:6790	6790	AURKA	 aurora kinase A
O14966	hsa:8934	8934	RAB29	" RAB29, member RAS oncogene family"
O14967	hsa:1047	1047	CLGN	 calmegin
O14972	hsa:10311	10311	DSCR3	 DSCR3 arrestin fold containing
O14974	hsa:4659	4659	PPP1R12A	 protein phosphatase 1 regulatory subunit 12A
O14976	hsa:2580	2580	GAK	 cyclin G associated kinase
O14977	hsa:51582	51582	AZIN1	 antizyme inhibitor 1
O14979	hsa:9987	9987	HNRNPDL	 heterogeneous nuclear ribonucleoprotein D like
O14980	hsa:7514	7514	XPO1	 exportin 1
O14981	hsa:9044	9044	BTAF1	 B-TFIID TATA-box binding protein associated factor 1
O15013	hsa:9639	9639	ARHGEF10	 Rho guanine nucleotide exchange factor 10
O15014	hsa:23060	23060	ZNF609	 zinc finger protein 609
O15020	hsa:6712	6712	SPTBN2	" spectrin beta, non-erythrocytic 2"
O15027	hsa:9919	9919	SEC16A	" SEC16 homolog A, endoplasmic reticulum export factor"
O15031	hsa:23654	23654	PLXNB2	 plexin B2
O15037	hsa:23351	23351	KHNYN	 KH and NYN domain containing
O15042	hsa:23350	23350	U2SURP	 U2 snRNP associated SURP domain containing
O15047	hsa:9739	9739	SETD1A	 SET domain containing 1A
O15054	hsa:23135	23135	KDM6B	 lysine demethylase 6B
O15056	hsa:8871	8871	SYNJ2	 synaptojanin 2
O15066	hsa:9371	9371	KIF3B	 kinesin family member 3B
O15067	hsa:5198	5198	PFAS	 phosphoribosylformylglycinamidine synthase
O15069	hsa:23148	23148	NACAD	 NAC alpha domain containing
O15075	hsa:9201	9201	DCLK1	 doublecortin like kinase 1
O15078	hsa:80184	80184	CEP290	 centrosomal protein 290
O15084	hsa:23243	23243	ANKRD28	 ankyrin repeat domain 28
O15085	hsa:9826	9826	ARHGEF11	 Rho guanine nucleotide exchange factor 11
O15091	hsa:9692	9692	MRPP3	 KIAA0391
O15111	hsa:1147	1147	CHUK	 conserved helix-loop-helix ubiquitous kinase
O15116	hsa:27257	27257	LSM1	" LSM1 homolog, mRNA degradation associated"
O15118	hsa:4864	4864	NPC1	 NPC intracellular cholesterol transporter 1
O15121	hsa:8560	8560	DEGS1	" delta 4-desaturase, sphingolipid 1"
O15126	hsa:9522	9522	SCAMP1	 secretory carrier membrane protein 1
O15127	hsa:10066	10066	SCAMP2	 secretory carrier membrane protein 2
O15131	hsa:3841	3841	KPNA5	 karyopherin subunit alpha 5
O15143	hsa:10095	10095	ARPC1B	 actin related protein 2/3 complex subunit 1B
O15144	hsa:10109	10109	ARPC2	 actin related protein 2/3 complex subunit 2
O15145	hsa:10094	10094	ARPC3	 actin related protein 2/3 complex subunit 3
O15155	hsa:10282	10282	BET1	 Bet1 golgi vesicular membrane trafficking protein
O15156	hsa:51043	51043	ZBTB7B	 zinc finger and BTB domain containing 7B
O15160	hsa:9533	9533	POLR1C	 RNA polymerase I subunit C
O15162	hsa:5359	5359	PLSCR1	 phospholipid scramblase 1
O15164	hsa:8805	8805	TRIM24	 tripartite motif containing 24
O15173	hsa:10424	10424	PGRMC2	 progesterone receptor membrane component 2
O15182	hsa:1070	1070	CETN3	 centrin 3
O15194	hsa:10217	10217	CTDSPL	 CTD small phosphatase like
O15198	hsa:4093	4093	SMAD9	 SMAD family member 9
O15211	hsa:5863	5863	RGL2	 ral guanine nucleotide dissociation stimulator like 2
O15212	hsa:10471	10471	PFDN6	 prefoldin subunit 6
O15213	hsa:9277	9277	WDR46	 WD repeat domain 46
O15226	hsa:55922	55922	NKRF	 NFKB repressing factor
O15228	hsa:8443	8443	GNPAT	 glyceronephosphate O-acyltransferase
O15230	hsa:3911	3911	LAMA5	 laminin subunit alpha 5
O15231	hsa:7739	7739	ZNF185	 zinc finger protein 185 with LIM domain
O15234	hsa:22794	22794	CASC3	 cancer susceptibility 3
O15235	hsa:6183	6183	MRPS12	 mitochondrial ribosomal protein S12
O15240	hsa:7425	7425	VGF	 VGF nerve growth factor inducible
O15247	hsa:1193	1193	CLIC2	 chloride intracellular channel 2
O15254	hsa:8310	8310	ACOX3	" acyl-CoA oxidase 3, pristanoyl"
O15258	hsa:11079	11079	RER1	 retention in endoplasmic reticulum sorting receptor 1
O15260	hsa:6836	6836	SURF4	 surfeit 4
O15265	hsa:6314	6314	ATXN7	 ataxin 7
O15269	hsa:10558	10558	SPTLC1	 serine palmitoyltransferase long chain base subunit 1
O15270	hsa:9517	9517	SPTLC2	 serine palmitoyltransferase long chain base subunit 2
O15287	hsa:2189	2189	FANCG	 Fanconi anemia complementation group G
O15294	hsa:8473	8473	OGT	 O-linked N-acetylglucosamine (GlcNAc) transferase
O15297	hsa:8493	8493	PPM1D	" protein phosphatase, Mg2+/Mn2+ dependent 1D"
O15305	hsa:5373	5373	PMM2	 phosphomannomutase 2
O15315	hsa:5890	5890	RAD51B	 RAD51 paralog B
O15318	hsa:10622	10622	POLR3G	 RNA polymerase III subunit G
O15321	hsa:10548	10548	TM9SF1	 transmembrane 9 superfamily member 1
O15327	hsa:8821	8821	INPP4B	 inositol polyphosphate-4-phosphatase type II B
O15347	hsa:3149	3149	HMGB3	 high mobility group box 3
O15355	hsa:5496	5496	PPM1G	" protein phosphatase, Mg2+/Mn2+ dependent 1G"
O15357	hsa:3636	3636	INPPL1	 inositol polyphosphate phosphatase like 1
O15360	hsa:2175	2175	FANCA	 Fanconi anemia complementation group A
O15370	hsa:6666	6666	SOX12	 SRY-box 12
O15371	hsa:8664	8664	EIF3D	 eukaryotic translation initiation factor 3 subunit D
O15372	hsa:8667	8667	EIF3H	 eukaryotic translation initiation factor 3 subunit H
O15379	hsa:8841	8841	HDAC3	 histone deacetylase 3
O15381	hsa:4931	4931	NVL	 nuclear VCP-like
O15382	hsa:587	587	BCAT2	 branched chain amino acid transaminase 2
O15392	hsa:332	332	BIRC5	 baculoviral IAP repeat containing 5
O15394	hsa:4685	4685	NCAM2	 neural cell adhesion molecule 2
O15397	hsa:10526	10526	IPO8	 importin 8
O15400	hsa:8417	8417	STX7	 syntaxin 7
O15427	hsa:9123	9123	SLC16A3	 solute carrier family 16 member 3
O15431	hsa:1317	1317	SLC31A1	 solute carrier family 31 member 1
O15438	hsa:8714	8714	ABCC3	 ATP binding cassette subfamily C member 3
O15439	hsa:10257	10257	ABCC4	 ATP binding cassette subfamily C member 4
O15440	hsa:10057	10057	ABCC5	 ATP binding cassette subfamily C member 5
O15446	hsa:10849	10849	CD3EAP	 CD3e molecule associated protein
O15460	hsa:8974	8974	P4HA2	 prolyl 4-hydroxylase subunit alpha 2
O15479	hsa:4113	4113	MAGEB2	 MAGE family member B2
O15484	hsa:726	726	CAPN5	 calpain 5
O15498	hsa:10652	10652	YKT6	 YKT6 v-SNARE homolog
O15504	hsa:11097	11097	NUPL2	 nucleoporin like 2
O15511	hsa:10092	10092	ARPC5	 actin related protein 2/3 complex subunit 5
O15514	hsa:5433	5433	POLR2D	 RNA polymerase II subunit D
O15516	hsa:9575	9575	CLOCK	 clock circadian regulator
O15530	hsa:5170	5170	PDPK1	 3-phosphoinositide dependent protein kinase 1
O15533	hsa:6892	6892	TAPBP	 TAP binding protein
O15550	hsa:7403	7403	KDM6A	 lysine demethylase 6A
O15554	hsa:3783	3783	KCNN4	 potassium calcium-activated channel subfamily N member 4
O43143	hsa:1665	1665	DHX15	 DEAH-box helicase 15
O43148	hsa:8731	8731	RNMT	 RNA guanine-7 methyltransferase
O43149	hsa:23140	23140	ZZEF1	 zinc finger ZZ-type and EF-hand domain containing 1
O43156	hsa:9675	9675	TTI1	 TELO2 interacting protein 1
O43159	hsa:23378	23378	RRP8	 ribosomal RNA processing 8
O43164	hsa:9867	9867	PJA2	 praja ring finger ubiquitin ligase 2
O43166	hsa:26037	26037	SIPA1L1	 signal induced proliferation associated 1 like 1
O43169	hsa:80777	80777	CYB5B	 cytochrome b5 type B
O43172	hsa:9128	9128	PRPF4	 pre-mRNA processing factor 4
O43175	hsa:26227	26227	PHGDH	 phosphoglycerate dehydrogenase
O43181	hsa:4724	4724	NDUFS4	 NADH:ubiquinone oxidoreductase subunit S4
O43184	hsa:8038	8038	ADAM12	 ADAM metallopeptidase domain 12
O43189	hsa:5252	5252	PHF1	 PHD finger protein 1
O43194	hsa:2863	2863	GPR39	 G protein-coupled receptor 39
O43237	hsa:1783	1783	DYNC1LI2	 dynein cytoplasmic 1 light intermediate chain 2
O43242	hsa:5709	5709	PSMD3	" proteasome 26S subunit, non-ATPase 3"
O43251	hsa:23543	23543	RBFOX2	" RNA binding protein, fox-1 homolog 2"
O43252	hsa:9061	9061	PAPSS1	 3'-phosphoadenosine 5'-phosphosulfate synthase 1
O43257	hsa:10467	10467	ZNHIT1	 zinc finger HIT-type containing 1
O43264	hsa:9183	9183	ZW10	 zw10 kinetochore protein
O43290	hsa:9092	9092	SART1	" SART1, U4/U6.U5 tri-snRNP-associated protein 1"
O43292	hsa:8733	8733	GPAA1	 glycosylphosphatidylinositol anchor attachment 1
O43293	hsa:1613	1613	DAPK3	 death associated protein kinase 3
O43294	hsa:7041	7041	TGFB1I1	 transforming growth factor beta 1 induced transcript 1
O43299	hsa:9907	9907	AP5Z1	 adaptor related protein complex 5 zeta 1 subunit
O43301	hsa:259217	259217	HSPA12A	 heat shock protein family A (Hsp70) member 12A
O43303	hsa:9738	9738	CCP110	 centriolar coiled-coil protein 110
O43310	hsa:9811	9811	CTIF	 cap binding complex dependent translation initiation factor
O43314	hsa:23262	23262	PPIP5K2	 diphosphoinositol pentakisphosphate kinase 2
O43318	hsa:6885	6885	MAP3K7	 mitogen-activated protein kinase kinase kinase 7
O43324	hsa:9521	9521	EEF1E1	 eukaryotic translation elongation factor 1 epsilon 1
O43347	hsa:4440	4440	MSI1	 musashi RNA binding protein 1
O43353	hsa:8767	8767	RIPK2	 receptor interacting serine/threonine kinase 2
O43374	hsa:10156	10156	RASA4	 RAS p21 protein activator 4
O43379	hsa:284403	284403	WDR62	 WD repeat domain 62
O43390	hsa:10236	10236	HNRNPR	 heterogeneous nuclear ribonucleoprotein R
O43395	hsa:9129	9129	PRPF3	 pre-mRNA processing factor 3
O43396	hsa:9352	9352	TXNL1	 thioredoxin like 1
O43399	hsa:7165	7165	TPD52L2	 tumor protein D52 like 2
O43402	hsa:10328	10328	EMC8	 ER membrane protein complex subunit 8
O43414	hsa:79033	79033	ERI3	 ERI1 exoribonuclease family member 3
O43422	hsa:5612	5612	THAP12	 THAP domain containing 12
O43426	hsa:8867	8867	SYNJ1	 synaptojanin 1
O43427	hsa:9158	9158	FIBP	 FGF1 intracellular binding protein
O43432	hsa:8672	8672	EIF4G3	 eukaryotic translation initiation factor 4 gamma 3
O43447	hsa:10465	10465	PPIH	 peptidylprolyl isomerase H
O43463	hsa:6839	6839	SUV39H1	 suppressor of variegation 3-9 homolog 1
O43464	hsa:27429	27429	HTRA2	 HtrA serine peptidase 2
O43482	hsa:11339	11339	OIP5	 Opa interacting protein 5
O43488	hsa:8574	8574	AKR7A2	 aldo-keto reductase family 7 member A2
O43491	hsa:2037	2037	EPB41L2	 erythrocyte membrane protein band 4.1 like 2
O43493	hsa:10618	10618	TGOLN2	 trans-golgi network protein 2
O43502	hsa:5889	5889	RAD51C	 RAD51 paralog C
O43504	hsa:10542	10542	LAMTOR5	" late endosomal/lysosomal adaptor, MAPK and MTOR activator 5"
O43505	hsa:11041	11041	B4GAT1	" beta-1,4-glucuronyltransferase 1"
O43516	hsa:7456	7456	WIPF1	 WAS/WASL interacting protein family member 1
O43524	hsa:2309	2309	FOXO3	 forkhead box O3
O43542	hsa:7517	7517	XRCC3	 X-ray repair cross complementing 3
O43572	hsa:11216	11216	AKAP10	 A-kinase anchoring protein 10
O43583	hsa:8562	8562	DENR	 density regulated re-initiation and release factor
O43592	hsa:11260	11260	XPOT	 exportin for tRNA
O43598	hsa:10591	10591	DNPH1	 2'-deoxynucleoside 5'-phosphate N-hydrolase 1
O43602	hsa:1641	1641	DCX	 doublecortin
O43615	hsa:10469	10469	TIMM44	 translocase of inner mitochondrial membrane 44
