Uniprot Entry	Rep1	Rep2
>sp|P11142|HSP7C_HUMAN Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1	27732.13	30809.22
>sp|P05387|RLA2_HUMAN 60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1	48835.72	23792.59
>sp|P08238|HS90B_HUMAN Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4	16538.90	18851.99
>sp|A6NMY6|AXA2L_HUMAN Putative annexin A2-like protein OS=Homo sapiens GN=ANXA2P2 PE=5 SV=2	49458.83	51974.80
>sp|P63104|1433Z_HUMAN 14-3-3 protein zeta/delta OS=Homo sapiens GN=YWHAZ PE=1 SV=1	42701.74	33611.39
>sp|Q9NY65|TBA8_HUMAN Tubulin alpha-8 chain OS=Homo sapiens GN=TUBA8 PE=1 SV=1	25232.73	16292.53
>sp|Q9BUF5|TBB6_HUMAN Tubulin beta-6 chain OS=Homo sapiens GN=TUBB6 PE=1 SV=1	32028.35	17846.00
>sp|P07900|HS90A_HUMAN Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5	17834.67	18213.49
>sp|P07900-2|HS90A_HUMAN Isoform 2 of Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1	16504.46	16855.02
>sp|P00338|LDHA_HUMAN L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA PE=1 SV=2	27369.03	39717.58
>sp|P22626|ROA2_HUMAN Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2	26124.89	18510.08
>sp|P06748|NPM_HUMAN Nucleophosmin OS=Homo sapiens GN=NPM1 PE=1 SV=2	39944.28	22744.78
>sp|P06748-3|NPM_HUMAN Isoform 3 of Nucleophosmin OS=Homo sapiens GN=NPM1	35573.18	22928.50
>sp|P05386|RLA1_HUMAN 60S acidic ribosomal protein P1 OS=Homo sapiens GN=RPLP1 PE=1 SV=1	28975.24	17751.33
>sp|P09651-2|ROA1_HUMAN Isoform A1-A of Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens GN=HNRNPA1	23322.08	17584.96
>sp|P09651|ROA1_HUMAN Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens GN=HNRNPA1 PE=1 SV=5	22922.64	17284.37
>sp|P00558|PGK1_HUMAN Phosphoglycerate kinase 1 OS=Homo sapiens GN=PGK1 PE=1 SV=3	17890.06	15139.13
>sp|P37802|TAGL2_HUMAN Transgelin-2 OS=Homo sapiens GN=TAGLN2 PE=1 SV=3	23559.74	16768.59
>sp|P22392|NDKB_HUMAN Nucleoside diphosphate kinase B OS=Homo sapiens GN=NME2 PE=1 SV=1	13947.14	20373.43
>sp|P62258|1433E_HUMAN 14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE PE=1 SV=1	23181.01	26610.38
>sp|A6NKZ8|YI016_HUMAN Putative tubulin beta chain-like protein ENSP00000290377 OS=Homo sapiens PE=5 SV=2	21967.05	12321.80
>sp|P63241|IF5A1_HUMAN Eukaryotic translation initiation factor 5A-1 OS=Homo sapiens GN=EIF5A PE=1 SV=2	29581.50	19169.12
>sp|Q58FF8|H90B2_HUMAN Putative heat shock protein HSP 90-beta 2 OS=Homo sapiens GN=HSP90AB2P PE=1 SV=2	13466.57	8661.12
>sp|P60903|S10AA_HUMAN Protein S100-A10 OS=Homo sapiens GN=S100A10 PE=1 SV=2	50647.06	53066.92
>sp|P31946-2|1433B_HUMAN Isoform Short of 14-3-3 protein beta/alpha OS=Homo sapiens GN=YWHAB	21640.31	19792.73
>sp|P60660|MYL6_HUMAN Myosin light polypeptide 6 OS=Homo sapiens GN=MYL6 PE=1 SV=2	11677.43	8135.65
>sp|P15531|NDKA_HUMAN Nucleoside diphosphate kinase A OS=Homo sapiens GN=NME1 PE=1 SV=1	14381.83	21812.62
>sp|P11021|GRP78_HUMAN 78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2	12504.26	12292.34
>sp|P00441|SODC_HUMAN Superoxide dismutase [Cu-Zn] OS=Homo sapiens GN=SOD1 PE=1 SV=2	14400.28	11506.77
>sp|P32119|PRDX2_HUMAN Peroxiredoxin-2 OS=Homo sapiens GN=PRDX2 PE=1 SV=5	10698.04	9394.50
>sp|Q32P51|RA1L2_HUMAN Heterogeneous nuclear ribonucleoprotein A1-like 2 OS=Homo sapiens GN=HNRNPA1L2 PE=2 SV=2	16586.40	15743.85
>sp|P27348|1433T_HUMAN 14-3-3 protein theta OS=Homo sapiens GN=YWHAQ PE=1 SV=1	21806.82	18280.32
>sp|P27797|CALR_HUMAN Calreticulin OS=Homo sapiens GN=CALR PE=1 SV=1	4575.33	6369.18
>sp|P08107|HSP71_HUMAN Heat shock 70 kDa protein 1A/1B OS=Homo sapiens GN=HSPA1A PE=1 SV=5	9390.04	10220.42
>sp|P13639|EF2_HUMAN Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4	12820.63	13953.71
>sp|Q58FF7|H90B3_HUMAN Putative heat shock protein HSP 90-beta-3 OS=Homo sapiens GN=HSP90AB3P PE=5 SV=1	7648.46	9830.32
>sp|P61978-2|HNRPK_HUMAN Isoform 2 of Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK	12031.79	11582.06
>sp|P22392-2|NDKB_HUMAN Isoform 3 of Nucleoside diphosphate kinase B OS=Homo sapiens GN=NME2	10248.74	14658.15
>sp|Q9H4B7|TBB1_HUMAN Tubulin beta-1 chain OS=Homo sapiens GN=TUBB1 PE=1 SV=1	16028.79	10115.40
>sp|P61978|HNRPK_HUMAN Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK PE=1 SV=1	11794.33	11353.47
>sp|P31947|1433S_HUMAN 14-3-3 protein sigma OS=Homo sapiens GN=SFN PE=1 SV=1	39232.51	31977.32
>sp|O43707|ACTN4_HUMAN Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2	7394.07	6855.59
>sp|P30101|PDIA3_HUMAN Protein disulfide-isomerase A3 OS=Homo sapiens GN=PDIA3 PE=1 SV=4	6520.24	6463.89
>sp|Q9H853|TBA4B_HUMAN Putative tubulin-like protein alpha-4B OS=Homo sapiens GN=TUBA4B PE=5 SV=2	29270.62	11479.90
>sp|P61978-3|HNRPK_HUMAN Isoform 3 of Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK	11362.66	10803.35
>sp|P61981|1433G_HUMAN 14-3-3 protein gamma OS=Homo sapiens GN=YWHAG PE=1 SV=2	21651.54	18046.55
>sp|P62826|RAN_HUMAN GTP-binding nuclear protein Ran OS=Homo sapiens GN=RAN PE=1 SV=3	11064.18	14691.14
>sp|P60842|IF4A1_HUMAN Eukaryotic initiation factor 4A-I OS=Homo sapiens GN=EIF4A1 PE=1 SV=1	12317.30	10201.13
>sp|P62857|RS28_HUMAN 40S ribosomal protein S28 OS=Homo sapiens GN=RPS28 PE=1 SV=1	6611.95	10214.09
>sp|O00299|CLIC1_HUMAN Chloride intracellular channel protein 1 OS=Homo sapiens GN=CLIC1 PE=1 SV=4	7797.62	6629.10
>sp|P05141|ADT2_HUMAN ADP/ATP translocase 2 OS=Homo sapiens GN=SLC25A5 PE=1 SV=7	6456.28	11606.58
>sp|P62263|RS14_HUMAN 40S ribosomal protein S14 OS=Homo sapiens GN=RPS14 PE=1 SV=3	12616.08	6826.34
>sp|P13693|TCTP_HUMAN Translationally-controlled tumor protein OS=Homo sapiens GN=TPT1 PE=1 SV=1	5841.46	11219.57
>sp|P25398|RS12_HUMAN 40S ribosomal protein S12 OS=Homo sapiens GN=RPS12 PE=1 SV=3	10802.68	10265.69
>sp|P14625|ENPL_HUMAN Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1	6191.95	6059.62
>sp|P29401|TKT_HUMAN Transketolase OS=Homo sapiens GN=TKT PE=1 SV=3	10956.18	10122.58
>sp|Q15365|PCBP1_HUMAN Poly(rC)-binding protein 1 OS=Homo sapiens GN=PCBP1 PE=1 SV=2	9387.81	6838.78
>sp|P30086|PEBP1_HUMAN Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens GN=PEBP1 PE=1 SV=3	7239.50	8294.94
>sp|P07910-2|HNRPC_HUMAN Isoform C1 of Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens GN=HNRNPC	14971.55	8332.15
>sp|P07910|HNRPC_HUMAN Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens GN=HNRNPC PE=1 SV=4	15001.13	8274.53
>sp|P30041|PRDX6_HUMAN Peroxiredoxin-6 OS=Homo sapiens GN=PRDX6 PE=1 SV=3	19189.57	17405.47
">sp|P06576|ATPB_HUMAN ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3"	17038.27	14342.75
>sp|Q99497|PARK7_HUMAN Protein DJ-1 OS=Homo sapiens GN=PARK7 PE=1 SV=2	9572.32	7252.65
>sp|P18669|PGAM1_HUMAN Phosphoglycerate mutase 1 OS=Homo sapiens GN=PGAM1 PE=1 SV=2	11345.59	9032.73
>sp|P60981-2|DEST_HUMAN Isoform 2 of Destrin OS=Homo sapiens GN=DSTN	6874.45	6177.50
>sp|P51991|ROA3_HUMAN Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens GN=HNRNPA3 PE=1 SV=2	5605.16	6636.19
>sp|P02545-2|LMNA_HUMAN Isoform C of Prelamin-A/C OS=Homo sapiens GN=LMNA	7534.81	7818.16
>sp|P09104|ENOG_HUMAN Gamma-enolase OS=Homo sapiens GN=ENO2 PE=1 SV=3	10062.87	10481.92
>sp|P07237|PDIA1_HUMAN Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3	4514.09	4438.99
>sp|P02545|LMNA_HUMAN Prelamin-A/C OS=Homo sapiens GN=LMNA PE=1 SV=1	7464.72	7438.31
>sp|P29692-3|EF1D_HUMAN Isoform 3 of Elongation factor 1-delta OS=Homo sapiens GN=EEF1D	5163.45	6047.79
>sp|P63244|GBLP_HUMAN Guanine nucleotide-binding protein subunit beta-2-like 1 OS=Homo sapiens GN=GNB2L1 PE=1 SV=3	8174.99	11029.59
>sp|P02795|MT2_HUMAN Metallothionein-2 OS=Homo sapiens GN=MT2A PE=1 SV=1	35163.32	26592.94
>sp|P06744|G6PI_HUMAN Glucose-6-phosphate isomerase OS=Homo sapiens GN=GPI PE=1 SV=4	7551.01	10182.18
>sp|P23396|RS3_HUMAN 40S ribosomal protein S3 OS=Homo sapiens GN=RPS3 PE=1 SV=2	9448.33	11043.95
>sp|P06753-2|TPM3_HUMAN Isoform 2 of Tropomyosin alpha-3 chain OS=Homo sapiens GN=TPM3	6945.27	6186.64
>sp|P80297|MT1X_HUMAN Metallothionein-1X OS=Homo sapiens GN=MT1X PE=1 SV=1	34189.53	26432.18
>sp|P02545-3|LMNA_HUMAN Isoform ADelta10 of Prelamin-A/C OS=Homo sapiens GN=LMNA	7188.51	7082.56
>sp|P13640-2|MT1G_HUMAN Isoform 2 of Metallothionein-1G OS=Homo sapiens GN=MT1G	34106.95	26389.62
>sp|P13640|MT1G_HUMAN Metallothionein-1G OS=Homo sapiens GN=MT1G PE=1 SV=2	34106.95	26389.62
>sp|P62328|TYB4_HUMAN Thymosin beta-4 OS=Homo sapiens GN=TMSB4X PE=1 SV=2	3237.97	696.54
>sp|P12236|ADT3_HUMAN ADP/ATP translocase 3 OS=Homo sapiens GN=SLC25A6 PE=1 SV=4	7292.93	11460.63
>sp|P08758|ANXA5_HUMAN Annexin A5 OS=Homo sapiens GN=ANXA5 PE=1 SV=2	12437.00	7477.84
>sp|P23284|PPIB_HUMAN Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens GN=PPIB PE=1 SV=2	7570.90	7004.94
>sp|P24534|EF1B_HUMAN Elongation factor 1-beta OS=Homo sapiens GN=EEF1B2 PE=1 SV=3	8802.01	6384.27
>sp|P63220|RS21_HUMAN 40S ribosomal protein S21 OS=Homo sapiens GN=RPS21 PE=1 SV=1	8437.10	8096.07
>sp|P49773|HINT1_HUMAN Histidine triad nucleotide-binding protein 1 OS=Homo sapiens GN=HINT1 PE=1 SV=2	11450.03	8002.86
">sp|Q7Z794|K2C1B_HUMAN Keratin, type II cytoskeletal 1b OS=Homo sapiens GN=KRT77 PE=1 SV=3"	8965.03	10553.86
>sp|P21796|VDAC1_HUMAN Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens GN=VDAC1 PE=1 SV=2	15328.45	14282.18
>sp|Q15366-3|PCBP2_HUMAN Isoform 3 of Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2	8023.08	5127.23
>sp|P54652|HSP72_HUMAN Heat shock-related 70 kDa protein 2 OS=Homo sapiens GN=HSPA2 PE=1 SV=1	7473.36	8229.51
>sp|Q15366-2|PCBP2_HUMAN Isoform 2 of Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2	7867.55	5034.78
>sp|P62241|RS8_HUMAN 40S ribosomal protein S8 OS=Homo sapiens GN=RPS8 PE=1 SV=2	6776.42	13416.95
>sp|P67936|TPM4_HUMAN Tropomyosin alpha-4 chain OS=Homo sapiens GN=TPM4 PE=1 SV=3	4327.32	3569.92
>sp|Q15366|PCBP2_HUMAN Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2 PE=1 SV=1	7849.95	5023.35
>sp|Q04917|1433F_HUMAN 14-3-3 protein eta OS=Homo sapiens GN=YWHAH PE=1 SV=4	18584.65	13833.16
>sp|P30050|RL12_HUMAN 60S ribosomal protein L12 OS=Homo sapiens GN=RPL12 PE=1 SV=1	10234.12	8507.93
>sp|Q15366-5|PCBP2_HUMAN Isoform 5 of Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2	7690.77	4971.95
>sp|Q01105|SET_HUMAN Protein SET OS=Homo sapiens GN=SET PE=1 SV=3	3323.96	6487.98
>sp|P12814|ACTN1_HUMAN Alpha-actinin-1 OS=Homo sapiens GN=ACTN1 PE=1 SV=2	7250.19	5238.06
>sp|Q01105-2|SET_HUMAN Isoform 2 of Protein SET OS=Homo sapiens GN=SET	2833.98	6151.75
>sp|P12814-2|ACTN1_HUMAN Isoform 2 of Alpha-actinin-1 OS=Homo sapiens GN=ACTN1	7118.16	5085.06
">sp|P30044-2|PRDX5_HUMAN Isoform Cytoplasmic+peroxisomal of Peroxiredoxin-5, mitochondrial OS=Homo sapiens GN=PRDX5"	12740.50	8153.39
>sp|P62942|FKB1A_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP1A OS=Homo sapiens GN=FKBP1A PE=1 SV=2	6646.21	6598.61
>sp|P04732|MT1E_HUMAN Metallothionein-1E OS=Homo sapiens GN=MT1E PE=1 SV=1	33123.70	22073.63
">sp|P25705|ATPA_HUMAN ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1"	13293.66	10886.50
>sp|A6NHL2-2|TBAL3_HUMAN Isoform 2 of Tubulin alpha chain-like 3 OS=Homo sapiens GN=TUBAL3	2890.12	4733.83
>sp|P16401|H15_HUMAN Histone H1.5 OS=Homo sapiens GN=HIST1H1B PE=1 SV=3	3403.78	5613.26
">sp|P35908|K22E_HUMAN Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2"	9541.42	14429.94
>sp|P35579|MYH9_HUMAN Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4	3991.10	4398.08
>sp|P26641|EF1G_HUMAN Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3	5215.79	4446.56
">sp|P38646|GRP75_HUMAN Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2"	16098.34	12752.51
>sp|P39019|RS19_HUMAN 40S ribosomal protein S19 OS=Homo sapiens GN=RPS19 PE=1 SV=2	5545.88	6204.70
>sp|O14950|ML12B_HUMAN Myosin regulatory light chain 12B OS=Homo sapiens GN=MYL12B PE=1 SV=2	4553.93	5872.34
>sp|P23526|SAHH_HUMAN Adenosylhomocysteinase OS=Homo sapiens GN=AHCY PE=1 SV=4	5475.17	6193.58
>sp|P19105|ML12A_HUMAN Myosin regulatory light chain 12A OS=Homo sapiens GN=MYL12A PE=1 SV=2	4556.10	5875.57
>sp|P19338|NUCL_HUMAN Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3	7394.48	6826.11
>sp|P16949|STMN1_HUMAN Stathmin OS=Homo sapiens GN=STMN1 PE=1 SV=3	2322.13	2317.54
>sp|P08708|RS17_HUMAN 40S ribosomal protein S17 OS=Homo sapiens GN=RPS17 PE=1 SV=2	8433.91	8008.03
>sp|P35268|RL22_HUMAN 60S ribosomal protein L22 OS=Homo sapiens GN=RPL22 PE=1 SV=2	6890.72	5425.92
>sp|P42677|RS27_HUMAN 40S ribosomal protein S27 OS=Homo sapiens GN=RPS27 PE=1 SV=3	5886.24	5473.36
>sp|P62888|RL30_HUMAN 60S ribosomal protein L30 OS=Homo sapiens GN=RPL30 PE=1 SV=2	7967.77	8532.30
>sp|P31943|HNRH1_HUMAN Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens GN=HNRNPH1 PE=1 SV=4	4844.64	4833.68
>sp|Q02539|H11_HUMAN Histone H1.1 OS=Homo sapiens GN=HIST1H1A PE=1 SV=3	1765.36	7795.60
>sp|P52597|HNRPF_HUMAN Heterogeneous nuclear ribonucleoprotein F OS=Homo sapiens GN=HNRNPF PE=1 SV=3	3933.93	4824.65
>sp|P62424|RL7A_HUMAN 60S ribosomal protein L7a OS=Homo sapiens GN=RPL7A PE=1 SV=2	11093.28	8492.26
>sp|Q00839-2|HNRPU_HUMAN Isoform Short of Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens GN=HNRNPU	5223.36	4830.44
>sp|P45880-2|VDAC2_HUMAN Isoform 2 of Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens GN=VDAC2	8543.37	6739.90
>sp|P61956-2|SUMO2_HUMAN Isoform 2 of Small ubiquitin-related modifier 2 OS=Homo sapiens GN=SUMO2	3447.40	4245.31
>sp|Q58FG0|HS905_HUMAN Putative heat shock protein HSP 90-alpha A5 OS=Homo sapiens GN=HSP90AA5P PE=1 SV=1	4897.41	5234.50
>sp|P07108|ACBP_HUMAN Acyl-CoA-binding protein OS=Homo sapiens GN=DBI PE=1 SV=2	5228.13	5506.06
>sp|P12235|ADT1_HUMAN ADP/ATP translocase 1 OS=Homo sapiens GN=SLC25A4 PE=1 SV=4	4837.79	8389.77
>sp|Q00839|HNRPU_HUMAN Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens GN=HNRNPU PE=1 SV=6	5136.95	4572.85
>sp|P62244|RS15A_HUMAN 40S ribosomal protein S15a OS=Homo sapiens GN=RPS15A PE=1 SV=2	7559.95	8769.96
>sp|P63173|RL38_HUMAN 60S ribosomal protein L38 OS=Homo sapiens GN=RPL38 PE=1 SV=2	5926.05	8124.79
>sp|P61970|NTF2_HUMAN Nuclear transport factor 2 OS=Homo sapiens GN=NUTF2 PE=1 SV=1	4734.82	4263.29
>sp|P55072|TERA_HUMAN Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4	3290.75	3108.55
>sp|Q14240|IF4A2_HUMAN Eukaryotic initiation factor 4A-II OS=Homo sapiens GN=EIF4A2 PE=1 SV=2	4267.67	4521.64
>sp|Q58FF6|H90B4_HUMAN Putative heat shock protein HSP 90-beta 4 OS=Homo sapiens GN=HSP90AB4P PE=5 SV=1	4892.45	2628.25
>sp|P46782|RS5_HUMAN 40S ribosomal protein S5 OS=Homo sapiens GN=RPS5 PE=1 SV=4	17779.88	5028.90
>sp|P62750|RL23A_HUMAN 60S ribosomal protein L23a OS=Homo sapiens GN=RPL23A PE=1 SV=1	8694.95	9512.16
>sp|P84077|ARF1_HUMAN ADP-ribosylation factor 1 OS=Homo sapiens GN=ARF1 PE=1 SV=2	5071.43	6946.16
>sp|P50395|GDIB_HUMAN Rab GDP dissociation inhibitor beta OS=Homo sapiens GN=GDI2 PE=1 SV=2	4385.33	3826.76
>sp|P62851|RS25_HUMAN 40S ribosomal protein S25 OS=Homo sapiens GN=RPS25 PE=1 SV=1	6978.19	4908.89
>sp|P55854|SUMO3_HUMAN Small ubiquitin-related modifier 3 OS=Homo sapiens GN=SUMO3 PE=1 SV=2	3486.22	3870.66
">sp|P62701|RS4X_HUMAN 40S ribosomal protein S4, X isoform OS=Homo sapiens GN=RPS4X PE=1 SV=2"	7126.37	7024.95
>sp|Q71UM5|RS27L_HUMAN 40S ribosomal protein S27-like OS=Homo sapiens GN=RPS27L PE=1 SV=3	7217.36	5593.41
>sp|P62249|RS16_HUMAN 40S ribosomal protein S16 OS=Homo sapiens GN=RPS16 PE=1 SV=2	7850.83	6854.30
>sp|O75531|BAF_HUMAN Barrier-to-autointegration factor OS=Homo sapiens GN=BANF1 PE=1 SV=1	2498.25	4197.21
>sp|Q9H299|SH3L3_HUMAN SH3 domain-binding glutamic acid-rich-like protein 3 OS=Homo sapiens GN=SH3BGRL3 PE=1 SV=1	3281.14	3433.28
>sp|P61204|ARF3_HUMAN ADP-ribosylation factor 3 OS=Homo sapiens GN=ARF3 PE=1 SV=2	4825.86	6539.50
>sp|P07339|CATD_HUMAN Cathepsin D OS=Homo sapiens GN=CTSD PE=1 SV=1	4156.49	5628.96
>sp|P49327|FAS_HUMAN Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3	4616.06	4079.69
>sp|P62829|RL23_HUMAN 60S ribosomal protein L23 OS=Homo sapiens GN=RPL23 PE=1 SV=1	9655.28	7214.94
">sp|Q04695|K1C17_HUMAN Keratin, type I cytoskeletal 17 OS=Homo sapiens GN=KRT17 PE=1 SV=2"	30170.69	32025.75
>sp|P67936-2|TPM4_HUMAN Isoform 2 of Tropomyosin alpha-4 chain OS=Homo sapiens GN=TPM4	3311.46	2688.96
>sp|Q14847|LASP1_HUMAN LIM and SH3 domain protein 1 OS=Homo sapiens GN=LASP1 PE=1 SV=2	1202.25	1489.21
">sp|P40925|MDHC_HUMAN Malate dehydrogenase, cytoplasmic OS=Homo sapiens GN=MDH1 PE=1 SV=4"	2331.52	5286.81
">sp|Q7RTS7|K2C74_HUMAN Keratin, type II cytoskeletal 74 OS=Homo sapiens GN=KRT74 PE=1 SV=2"	6725.17	8751.21
>sp|P26583|HMGB2_HUMAN High mobility group protein B2 OS=Homo sapiens GN=HMGB2 PE=1 SV=2	2942.45	3648.40
>sp|P62081|RS7_HUMAN 40S ribosomal protein S7 OS=Homo sapiens GN=RPS7 PE=1 SV=1	3668.80	4152.72
>sp|P60866|RS20_HUMAN 40S ribosomal protein S20 OS=Homo sapiens GN=RPS20 PE=1 SV=1	3692.25	5759.90
>sp|P15880|RS2_HUMAN 40S ribosomal protein S2 OS=Homo sapiens GN=RPS2 PE=1 SV=2	5065.12	6836.53
>sp|P63313|TYB10_HUMAN Thymosin beta-10 OS=Homo sapiens GN=TMSB10 PE=1 SV=2	6337.98	31.99
>sp|P50990|TCPQ_HUMAN T-complex protein 1 subunit theta OS=Homo sapiens GN=CCT8 PE=1 SV=4	4875.09	6416.05
>sp|P12004|PCNA_HUMAN Proliferating cell nuclear antigen OS=Homo sapiens GN=PCNA PE=1 SV=1	1972.25	2924.56
