Identified Proteins (540)	Accession Number	Alternate ID	Molecular Weight	Protein Grouping Ambiguity	Taxonomy	Uninduced 1	Uninduced 2	Uninduced 3	Induced 1	Induced 2
"C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens GN=MTHFD1 PE=1 SV=3"	C1TC_HUMAN		102 kDa	TRUE	unknown	105	107	88	13	14
Calnexin OS=Homo sapiens GN=CANX PE=1 SV=2	CALX_HUMAN		68 kDa	TRUE	unknown	72	65	59	64	54
Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens GN=EIF3E PE=1 SV=1	EIF3E_HUMAN		52 kDa		unknown	81	104	61	28	35
Protein furry homolog-like OS=Homo sapiens GN=FRYL PE=1 SV=2	FRYL_HUMAN		340 kDa	TRUE	unknown	77	80	69	27	38
Insulin-like growth factor 2 mRNA-binding protein 1 OS=Homo sapiens GN=IGF2BP1 PE=1 SV=2	IF2B1_HUMAN		63 kDa	TRUE	unknown	69	78	65	41	39
Exportin-1 OS=Homo sapiens GN=XPO1 PE=1 SV=1	XPO1_HUMAN		123 kDa	TRUE	unknown	55	53	45	62	66
ATP-dependent RNA helicase A OS=Homo sapiens GN=DHX9 PE=1 SV=4	DHX9_HUMAN		141 kDa	TRUE	unknown	44	39	29	83	81
60S ribosomal protein L3 OS=Homo sapiens GN=RPL3 PE=1 SV=2	RL3_HUMAN		46 kDa	TRUE	unknown	58	63	57	48	41
RNA-binding protein 10 OS=Homo sapiens GN=RBM10 PE=1 SV=3	RBM10_HUMAN		104 kDa	TRUE	unknown	40	43	41	79	80
Heat shock 70 kDa protein 1A OS=Homo sapiens GN=HSPA1A PE=1 SV=1	HS71A_HUMAN (+1)		70 kDa	TRUE	unknown	68	72	59	79	82
Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens GN=SYNCRIP PE=1 SV=2	HNRPQ_HUMAN		70 kDa	TRUE	unknown	75	51	54	54	44
La-related protein 1 OS=Homo sapiens GN=LARP1 PE=1 SV=2	LARP1_HUMAN		124 kDa		unknown	48	46	43	56	78
60S ribosomal protein L6 OS=Homo sapiens GN=RPL6 PE=1 SV=3	RL6_HUMAN		33 kDa	TRUE	unknown	61	52	49	55	54
Nuclease-sensitive element-binding protein 1 OS=Homo sapiens GN=YBX1 PE=1 SV=3	YBOX1_HUMAN		36 kDa	TRUE	unknown	64	65	57	37	39
Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4	FLNA_HUMAN		281 kDa	TRUE	unknown	31	27	27	86	79
Protein LZIC OS=Homo sapiens GN=LZIC PE=1 SV=1	LZIC_HUMAN		21 kDa		unknown	144	59	40	18	
"Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=MARS PE=1 SV=2"	SYMC_HUMAN		101 kDa	TRUE	unknown	56	48	34	58	57
Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1	PABP4_HUMAN		71 kDa	TRUE	unknown	119	104	95	55	60
Structural maintenance of chromosomes protein 4 OS=Homo sapiens GN=SMC4 PE=1 SV=2	SMC4_HUMAN		147 kDa		unknown	52	45	43	51	34
Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens GN=ATP1A1 PE=1 SV=1	AT1A1_HUMAN		113 kDa	TRUE	unknown	53	52	41	45	44
Structural maintenance of chromosomes protein 1A OS=Homo sapiens GN=SMC1A PE=1 SV=2	SMC1A_HUMAN		143 kDa	TRUE	unknown	50	51	45	26	28
"Arginine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=RARS PE=1 SV=2"	SYRC_HUMAN		75 kDa	TRUE	unknown	51	38	37	32	36
CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2	CNOT1_HUMAN		267 kDa	TRUE	unknown	44	33	39	52	46
Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens GN=SND1 PE=1 SV=1	SND1_HUMAN		102 kDa	TRUE	unknown	63	61	55	29	18
X-ray repair cross-complementing protein 6 OS=Homo sapiens GN=XRCC6 PE=1 SV=2	XRCC6_HUMAN		70 kDa	TRUE	unknown	49	43	33	39	30
"Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens GN=DARS PE=1 SV=2"	SYDC_HUMAN		57 kDa		unknown	48	44	37	38	43
Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens GN=G3BP1 PE=1 SV=1	G3BP1_HUMAN		52 kDa	TRUE	unknown	55	53	25	41	42
"Leucine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=LARS PE=1 SV=2"	SYLC_HUMAN		134 kDa	TRUE	unknown	42	41	32	42	41
Activating signal cointegrator 1 OS=Homo sapiens GN=TRIP4 PE=1 SV=4	TRIP4_HUMAN		66 kDa		unknown	28	28	12	71	75
Glutamine--tRNA ligase OS=Homo sapiens GN=QARS PE=1 SV=1	SYQ_HUMAN		88 kDa	TRUE	unknown	45	52	36	35	38
Structural maintenance of chromosomes protein 3 OS=Homo sapiens GN=SMC3 PE=1 SV=2	SMC3_HUMAN		142 kDa	TRUE	unknown	50	44	47	20	24
60S ribosomal protein L7 OS=Homo sapiens GN=RPL7 PE=1 SV=1	RL7_HUMAN		29 kDa	TRUE	unknown	29	29	36	39	50
Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2	IMB1_HUMAN		97 kDa		unknown	39	29	29	55	48
Putative helicase MOV-10 OS=Homo sapiens GN=MOV10 PE=1 SV=2	MOV10_HUMAN		114 kDa	TRUE	unknown	47	46	38	27	28
Eukaryotic translation initiation factor 3 subunit G OS=Homo sapiens GN=EIF3G PE=1 SV=2	EIF3G_HUMAN		36 kDa	TRUE	unknown	48	49	42	22	19
X-ray repair cross-complementing protein 5 OS=Homo sapiens GN=XRCC5 PE=1 SV=3	XRCC5_HUMAN		83 kDa	TRUE	unknown	36	34	28	27	28
Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens GN=EIF3F PE=1 SV=1	EIF3F_HUMAN		38 kDa		unknown	60	53	39	16	18
40S ribosomal protein S3 OS=Homo sapiens GN=RPS3 PE=1 SV=2	RS3_HUMAN		27 kDa	TRUE	unknown	29	24	26	46	47
Structural maintenance of chromosomes protein 2 OS=Homo sapiens GN=SMC2 PE=1 SV=2	SMC2_HUMAN		136 kDa	TRUE	unknown	47	40	29	25	29
40S ribosomal protein S3a OS=Homo sapiens GN=RPS3A PE=1 SV=2	RS3A_HUMAN		30 kDa	TRUE	unknown	31	28	27	38	39
Transferrin receptor protein 1 OS=Homo sapiens GN=TFRC PE=1 SV=2	TFR1_HUMAN		85 kDa	TRUE	unknown	40	32	25	29	45
Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens GN=EIF3D PE=1 SV=1	EIF3D_HUMAN		64 kDa	TRUE	unknown	47	34	29	23	20
Interleukin enhancer-binding factor 3 OS=Homo sapiens GN=ILF3 PE=1 SV=3	ILF3_HUMAN		95 kDa	TRUE	unknown	33	35	35	26	25
U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens GN=SNRNP200 PE=1 SV=2	U520_HUMAN		245 kDa	TRUE	unknown	28	37	23	16	29
Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1	IQGA1_HUMAN		189 kDa	TRUE	unknown	30	32	28	29	21
Microtubule-associated protein 1B OS=Homo sapiens GN=MAP1B PE=1 SV=2	MAP1B_HUMAN		271 kDa	TRUE	unknown	14	25	14	35	49
60S ribosomal protein L7a OS=Homo sapiens GN=RPL7A PE=1 SV=2	RL7A_HUMAN		30 kDa	TRUE	unknown	30	30	20	26	25
Lysine--tRNA ligase OS=Homo sapiens GN=KARS PE=1 SV=3	SYK_HUMAN		68 kDa		unknown	33	30	30	22	22
Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens GN=EIF3H PE=1 SV=1	EIF3H_HUMAN		40 kDa		unknown	36	53	32	13	10
ATP-dependent RNA helicase DDX3X OS=Homo sapiens GN=DDX3X PE=1 SV=3	DDX3X_HUMAN		73 kDa	TRUE	unknown	33	38	24	22	21
Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens GN=ATP2A2 PE=1 SV=1	AT2A2_HUMAN		115 kDa	TRUE	unknown	38	28	29	20	14
ATP-binding cassette sub-family F member 1 OS=Homo sapiens GN=ABCF1 PE=1 SV=2	ABCF1_HUMAN		96 kDa	TRUE	unknown	25	28	28	24	27
Eukaryotic translation initiation factor 5B OS=Homo sapiens GN=EIF5B PE=1 SV=4	IF2P_HUMAN		139 kDa	TRUE	unknown	27	24	24	21	19
Protein PRRC2C OS=Homo sapiens GN=PRRC2C PE=1 SV=4	PRC2C_HUMAN		317 kDa	TRUE	unknown	28	24	40	26	22
"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1"	ATPA_HUMAN		60 kDa	TRUE	unknown	26	30	21	24	17
Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1	EF1A1_HUMAN		50 kDa	TRUE	unknown	38	35	30	4	1
Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens GN=EIF3I PE=1 SV=1	EIF3I_HUMAN		37 kDa		unknown	29	35	25	14	13
Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens GN=EIF2S3 PE=1 SV=3	IF2G_HUMAN		51 kDa	TRUE	unknown	32	30	16	15	17
"Keratin, type I cytoskeletal 14 OS=Homo sapiens GN=KRT14 PE=1 SV=4"	K1C14_HUMAN		52 kDa	TRUE	unknown	61	53	48	21	23
Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens GN=PRPF8 PE=1 SV=2	PRP8_HUMAN		274 kDa	TRUE	unknown	25	30	28	5	15
Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens GN=DDX17 PE=1 SV=2	DDX17_HUMAN		80 kDa	TRUE	unknown	22	29	30	19	24
Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens GN=HNRNPC PE=1 SV=4	HNRPC_HUMAN		34 kDa	TRUE	unknown	34	31	27	7	7
Activating signal cointegrator 1 complex subunit 1 OS=Homo sapiens GN=ASCC1 PE=1 SV=1	ASCC1_HUMAN		46 kDa	TRUE	unknown	1		3	47	49
Exportin-5 OS=Homo sapiens GN=XPO5 PE=1 SV=1	XPO5_HUMAN		136 kDa	TRUE	unknown	18	15	19	39	25
Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens GN=EIF3M PE=1 SV=1	EIF3M_HUMAN		43 kDa		unknown	32	25	17	17	19
"ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3"	ATPB_HUMAN		57 kDa		unknown	27	23	17	15	30
Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens GN=HNRNPM PE=1 SV=3	HNRPM_HUMAN		78 kDa		unknown	21	12	13	27	30
"Keratin, type II cytoskeletal 5 OS=Homo sapiens GN=KRT5 PE=1 SV=3"	K2C5_HUMAN		62 kDa	TRUE	unknown	66	59	47	32	36
"40S ribosomal protein S4, X isoform OS=Homo sapiens GN=RPS4X PE=1 SV=2"	RS4X_HUMAN		30 kDa	TRUE	unknown	21	15	5	25	25
Tubulin alpha-1C chain OS=Homo sapiens GN=TUBA1C PE=1 SV=1	TBA1C_HUMAN		50 kDa		unknown	22	18		33	33
Condensin complex subunit 1 OS=Homo sapiens GN=NCAPD2 PE=1 SV=3	CND1_HUMAN		157 kDa	TRUE	unknown	12	22	13	26	28
Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens GN=HNRNPUL1 PE=1 SV=2	HNRL1_HUMAN		96 kDa	TRUE	unknown	29	23	23	17	13
RuvB-like 2 OS=Homo sapiens GN=RUVBL2 PE=1 SV=3	RUVB2_HUMAN		51 kDa	TRUE	unknown	26	28	14	19	18
Cytoskeleton-associated protein 5 OS=Homo sapiens GN=CKAP5 PE=1 SV=3	CKAP5_HUMAN		226 kDa	TRUE	unknown	6	12	12	32	35
Double-stranded RNA-binding protein Staufen homolog 1 OS=Homo sapiens GN=STAU1 PE=1 SV=2	STAU1_HUMAN		63 kDa	TRUE	unknown	23	17	13	20	29
Regulator of nonsense transcripts 1 OS=Homo sapiens GN=UPF1 PE=1 SV=2	RENT1_HUMAN		124 kDa	TRUE	unknown	28	27	12	15	15
Protein arginine N-methyltransferase 5 OS=Homo sapiens GN=PRMT5 PE=1 SV=4	ANM5_HUMAN		73 kDa		unknown	21	22	22	10	8
Eukaryotic translation initiation factor 4B OS=Homo sapiens GN=EIF4B PE=1 SV=2	IF4B_HUMAN		69 kDa	TRUE	unknown	30	32	35		
Coatomer subunit alpha OS=Homo sapiens GN=COPA PE=1 SV=2	COPA_HUMAN		138 kDa	TRUE	unknown	17	20	19	26	15
Melanoma inhibitory activity protein 3 OS=Homo sapiens GN=MIA3 PE=1 SV=1	MIA3_HUMAN		214 kDa	TRUE	unknown	16	8	13	30	30
40S ribosomal protein S2 OS=Homo sapiens GN=RPS2 PE=1 SV=2	RS2_HUMAN		31 kDa	TRUE	unknown	20	9	7	25	26
Eukaryotic translation initiation factor 2 subunit 2 OS=Homo sapiens GN=EIF2S2 PE=1 SV=2	IF2B_HUMAN		38 kDa	TRUE	unknown	22	22	13	15	27
Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens GN=RPS27A PE=1 SV=2	RS27A_HUMAN		18 kDa	TRUE	unknown	19	13	8	15	11
Myosin-14 OS=Homo sapiens GN=MYH14 PE=1 SV=2	MYH14_HUMAN		228 kDa	TRUE	unknown				92	75
Plasminogen activator inhibitor 1 RNA-binding protein OS=Homo sapiens GN=SERBP1 PE=1 SV=2	PAIRB_HUMAN		45 kDa		unknown	23	19	7	27	24
60S ribosomal protein L13 OS=Homo sapiens GN=RPL13 PE=1 SV=4	RL13_HUMAN		24 kDa	TRUE	unknown	21	14	12	21	22
Importin-7 OS=Homo sapiens GN=IPO7 PE=1 SV=1	IPO7_HUMAN		120 kDa	TRUE	unknown	14	18	12	15	20
SRSF protein kinase 1 OS=Homo sapiens GN=SRPK1 PE=1 SV=2	SRPK1_HUMAN		74 kDa	TRUE	unknown	17	31	12	13	17
Tripeptidyl-peptidase 2 OS=Homo sapiens GN=TPP2 PE=1 SV=4	TPP2_HUMAN		138 kDa	TRUE	unknown	18	14	19	18	21
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens GN=RPN1 PE=1 SV=1	RPN1_HUMAN		69 kDa	TRUE	unknown	26	23	11	13	10
40S ribosomal protein S6 OS=Homo sapiens GN=RPS6 PE=1 SV=1	RS6_HUMAN		29 kDa	TRUE	unknown	14	13	10	18	22
40S ribosomal protein S8 OS=Homo sapiens GN=RPS8 PE=1 SV=2	RS8_HUMAN		24 kDa	TRUE	unknown	12	17	15	28	21
60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2	RL13A_HUMAN		24 kDa	TRUE	unknown	12	17	15	12	16
Serine/threonine-protein kinase WNK1 OS=Homo sapiens GN=WNK1 PE=1 SV=2	WNK1_HUMAN		251 kDa	TRUE	unknown	13	14	12	21	24
Y-box-binding protein 3 OS=Homo sapiens GN=YBX3 PE=1 SV=4	YBOX3_HUMAN		40 kDa	TRUE	unknown	48	35	27	34	30
Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens GN=IGF2BP3 PE=1 SV=2	IF2B3_HUMAN		64 kDa	TRUE	unknown	34	37	23	23	30
RuvB-like 1 OS=Homo sapiens GN=RUVBL1 PE=1 SV=1	RUVB1_HUMAN		50 kDa	TRUE	unknown	20	16	5	23	21
YTH domain-containing family protein 2 OS=Homo sapiens GN=YTHDF2 PE=1 SV=2	YTHD2_HUMAN		62 kDa	TRUE	unknown	21	16	13	14	12
Neutral amino acid transporter B(0) OS=Homo sapiens GN=SLC1A5 PE=1 SV=2	AAAT_HUMAN		57 kDa		unknown	20	17	8	19	22
ATP-binding cassette sub-family F member 2 OS=Homo sapiens GN=ABCF2 PE=1 SV=2	ABCF2_HUMAN		71 kDa	TRUE	unknown	17	16	11	10	11
Eukaryotic initiation factor 4A-I OS=Homo sapiens GN=EIF4A1 PE=1 SV=1	IF4A1_HUMAN		46 kDa	TRUE	unknown	27	21	17	6	9
60S ribosomal protein L11 OS=Homo sapiens GN=RPL11 PE=1 SV=2	RL11_HUMAN		20 kDa	TRUE	unknown	14	23	19	12	13
tRNA (cytosine(34)-C(5))-methyltransferase OS=Homo sapiens GN=NSUN2 PE=1 SV=2	NSUN2_HUMAN		86 kDa	TRUE	unknown	18	15	5	21	19
Transcription intermediary factor 1-beta OS=Homo sapiens GN=TRIM28 PE=1 SV=5	TIF1B_HUMAN		89 kDa		unknown	20	11	15	18	17
Gem-associated protein 4 OS=Homo sapiens GN=GEMIN4 PE=1 SV=2	GEMI4_HUMAN		120 kDa	TRUE	unknown	19	17	9	19	15
Splicing factor 3B subunit 1 OS=Homo sapiens GN=SF3B1 PE=1 SV=3	SF3B1_HUMAN		146 kDa	TRUE	unknown	12	14	11	22	17
Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4	TERA_HUMAN		89 kDa	TRUE	unknown	22	18	20	14	9
116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens GN=EFTUD2 PE=1 SV=1	U5S1_HUMAN		109 kDa	TRUE	unknown	14	18	18	13	18
60S ribosomal protein L5 OS=Homo sapiens GN=RPL5 PE=1 SV=3	RL5_HUMAN		34 kDa		unknown	14	12	4	14	11
Developmentally-regulated GTP-binding protein 1 OS=Homo sapiens GN=DRG1 PE=1 SV=1	DRG1_HUMAN		41 kDa		unknown	20	17	13	13	14
B-cell receptor-associated protein 31 OS=Homo sapiens GN=BCAP31 PE=1 SV=3	BAP31_HUMAN		28 kDa		unknown	19	17	16	13	16
Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3	EF1G_HUMAN		50 kDa		unknown	22	31	16	1	5
Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens GN=HNRNPH1 PE=1 SV=4	HNRH1_HUMAN		49 kDa	TRUE	unknown	11	15	12	5	9
Phenylalanine--tRNA ligase beta subunit OS=Homo sapiens GN=FARSB PE=1 SV=3	SYFB_HUMAN		66 kDa	TRUE	unknown	23	15	18	4	5
Gem-associated protein 5 OS=Homo sapiens GN=GEMIN5 PE=1 SV=3	GEMI5_HUMAN		169 kDa	TRUE	unknown	14	15	15	12	16
60S ribosomal protein L14 OS=Homo sapiens GN=RPL14 PE=1 SV=4	RL14_HUMAN		23 kDa	TRUE	unknown	9	10	8	10	23
60S ribosomal protein L8 OS=Homo sapiens GN=RPL8 PE=1 SV=2	RL8_HUMAN		28 kDa		unknown	12	9	13	20	16
Tubulin beta chain OS=Homo sapiens GN=TUBB PE=1 SV=2	TBB5_HUMAN		50 kDa	TRUE	unknown	21	16	6	14	18
Condensin complex subunit 3 OS=Homo sapiens GN=NCAPG PE=1 SV=1	CND3_HUMAN		114 kDa	TRUE	unknown	22	11	11	15	11
Nucleolar RNA helicase 2 OS=Homo sapiens GN=DDX21 PE=1 SV=5	DDX21_HUMAN		87 kDa	TRUE	unknown	18	11	12	13	16
Interleukin enhancer-binding factor 2 OS=Homo sapiens GN=ILF2 PE=1 SV=2	ILF2_HUMAN		43 kDa		unknown	14	15	11	13	18
Fragile X mental retardation syndrome-related protein 2 OS=Homo sapiens GN=FXR2 PE=1 SV=2	FXR2_HUMAN		74 kDa	TRUE	unknown	16	13	13	15	7
Transportin-1 OS=Homo sapiens GN=TNPO1 PE=1 SV=2	TNPO1_HUMAN		102 kDa	TRUE	unknown	17	20	16	11	8
Kinesin-like protein KIF11 OS=Homo sapiens GN=KIF11 PE=1 SV=2	KIF11_HUMAN		119 kDa	TRUE	unknown	14	14	7	11	18
60S ribosomal protein L23a OS=Homo sapiens GN=RPL23A PE=1 SV=1	RL23A_HUMAN		18 kDa		unknown	11	10	7	20	17
Putative ATP-dependent RNA helicase DHX30 OS=Homo sapiens GN=DHX30 PE=1 SV=1	DHX30_HUMAN		134 kDa	TRUE	unknown	7	13	11	15	13
Splicing factor 3B subunit 3 OS=Homo sapiens GN=SF3B3 PE=1 SV=4	SF3B3_HUMAN		136 kDa	TRUE	unknown	12	9	11	13	20
Pre-rRNA-processing protein TSR1 homolog OS=Homo sapiens GN=TSR1 PE=1 SV=1	TSR1_HUMAN		92 kDa	TRUE	unknown	9	14	15	9	13
40S ribosomal protein S9 OS=Homo sapiens GN=RPS9 PE=1 SV=3	RS9_HUMAN		23 kDa	TRUE	unknown	10	5	7	14	24
40S ribosomal protein S16 OS=Homo sapiens GN=RPS16 PE=1 SV=2	RS16_HUMAN		16 kDa		unknown	11	6	4	18	20
60S ribosomal protein L12 OS=Homo sapiens GN=RPL12 PE=1 SV=1	RL12_HUMAN		18 kDa		unknown	6	6	10	22	19
Golgin subfamily A member 3 OS=Homo sapiens GN=GOLGA3 PE=1 SV=2	GOGA3_HUMAN		167 kDa	TRUE	unknown	14	20	23		
Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens GN=HNRNPD PE=1 SV=1	HNRPD_HUMAN		38 kDa		unknown	16	14	14	11	11
"ATP-dependent 6-phosphofructokinase, platelet type OS=Homo sapiens GN=PFKP PE=1 SV=2"	PFKAP_HUMAN		86 kDa	TRUE	unknown	12	18	8	13	10
40S ribosomal protein S19 OS=Homo sapiens GN=RPS19 PE=1 SV=2	RS19_HUMAN		16 kDa	TRUE	unknown	8	9	15	16	19
Probable ATP-dependent RNA helicase YTHDC2 OS=Homo sapiens GN=YTHDC2 PE=1 SV=2	YTDC2_HUMAN		160 kDa	TRUE	unknown	9	16	10	12	13
Large proline-rich protein BAG6 OS=Homo sapiens GN=BAG6 PE=1 SV=2	BAG6_HUMAN		119 kDa		unknown	12	14	6	13	9
60S ribosomal protein L10a OS=Homo sapiens GN=RPL10A PE=1 SV=2	RL10A_HUMAN		25 kDa	TRUE	unknown	10	7	11	12	19
Vigilin OS=Homo sapiens GN=HDLBP PE=1 SV=2	VIGLN_HUMAN		141 kDa	TRUE	unknown	14	12	14	11	7
Caprin-1 OS=Homo sapiens GN=CAPRIN1 PE=1 SV=2	CAPR1_HUMAN		78 kDa	TRUE	unknown	6	14	13	8	18
Far upstream element-binding protein 3 OS=Homo sapiens GN=FUBP3 PE=1 SV=2	FUBP3_HUMAN		62 kDa	TRUE	unknown	22	18	11	3	4
60S ribosomal protein L19 OS=Homo sapiens GN=RPL19 PE=1 SV=1	RL19_HUMAN		23 kDa		unknown	5	4	8	14	18
