Entry	Status	Protein names	Organism	Length	Gene names  (primary )	Entry name
Q9UN86	reviewed	Ras GTPase-activating protein-binding protein 2 (G3BP-2) (GAP SH3 domain-binding protein 2)	Homo sapiens (Human)	482	G3BP2	G3BP2_HUMAN
P04406	reviewed	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	Homo sapiens (Human)	335	GAPDH	G3P_HUMAN
Q9NY12	reviewed	H/ACA ribonucleoprotein complex subunit 1 (Nucleolar protein family A member 1) (snoRNP protein GAR1)	Homo sapiens (Human)	217	GAR1	GAR1_HUMAN
P52565	reviewed	Rho GDP-dissociation inhibitor 1 (Rho GDI 1) (Rho-GDI alpha)	Homo sapiens (Human)	204	ARHGDIA	GDIR1_HUMAN
P46976	reviewed	Glycogenin-1 (GN-1) (GN1) (EC 2.4.1.186)	Homo sapiens (Human)	350	GYG1	GLYG_HUMAN
Q5JWF2	reviewed	Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas (Adenylate cyclase-stimulating G alpha protein) (Extra large alphas protein) (XLalphas)	Homo sapiens (Human)	1037	GNAS	GNAS1_HUMAN
P15586	reviewed	N-acetylglucosamine-6-sulfatase (EC 3.1.6.14) (Glucosamine-6-sulfatase) (G6S)	Homo sapiens (Human)	552	GNS	GNS_HUMAN
P35052	reviewed	Glypican-1 [Cleaved into: Secreted glypican-1]	Homo sapiens (Human)	558	GPC1	GPC1_HUMAN
P38646	reviewed	Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9) (Mortalin) (MOT) (Peptide-binding protein 74) (PBP74)	Homo sapiens (Human)	679	HSPA9	GRP75_HUMAN
P11021	reviewed	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein)	Homo sapiens (Human)	654	HSPA5	BIP_HUMAN
Q12849	reviewed	G-rich sequence factor 1 (GRSF-1)	Homo sapiens (Human)	480	GRSF1	GRSF1_HUMAN
P11166	reviewed	Solute carrier family 2, facilitated glucose transporter member 1 (Glucose transporter type 1, erythrocyte/brain) (GLUT-1) (HepG2 glucose transporter)	Homo sapiens (Human)	492	SLC2A1	GTR1_HUMAN
P0C0S8	reviewed	Histone H2A type 1 (H2A.1) (Histone H2A/ptl)	Homo sapiens (Human)	130	HIST1H2AG; HIST1H2AI; HIST1H2AK; HIST1H2AL; HIST1H2AM	H2A1_HUMAN
Q99879	reviewed	Histone H2B type 1-M (Histone H2B.e) (H2B/e)	Homo sapiens (Human)	126	HIST1H2BM	H2B1M_HUMAN
P68431	reviewed	Histone H3.1 (Histone H3/a) (Histone H3/b) (Histone H3/c) (Histone H3/d) (Histone H3/f) (Histone H3/h) (Histone H3/i) (Histone H3/j) (Histone H3/k) (Histone H3/l)	Homo sapiens (Human)	136	HIST1H3A; HIST1H3B; HIST1H3C; HIST1H3D; HIST1H3E; HIST1H3F; HIST1H3G; HIST1H3H; HIST1H3I; HIST1H3J	H31_HUMAN
P62805	reviewed	Histone H4	Homo sapiens (Human)	103	HIST1H4A; HIST1H4B; HIST1H4C; HIST1H4D; HIST1H4E; HIST1H4F; HIST1H4H; HIST1H4I; HIST1H4J; HIST1H4K; HIST1H4L; HIST2H4A; HIST2H4B; HIST4H4	H4_HUMAN
Q13442	reviewed	28 kDa heat- and acid-stable phosphoprotein (PDGF-associated protein) (PAP) (PDGFA-associated protein 1) (PAP1)	Homo sapiens (Human)	181	PDAP1	HAP28_HUMAN
Q7Z4V5	reviewed	Hepatoma-derived growth factor-related protein 2 (HDGF-related protein 2) (HRP-2) (Hepatoma-derived growth factor 2) (HDGF-2)	Homo sapiens (Human)	671	HDGFL2	HDGR2_HUMAN
P09429	reviewed	High mobility group protein B1 (High mobility group protein 1) (HMG-1)	Homo sapiens (Human)	215	HMGB1	HMGB1_HUMAN
P26583	reviewed	High mobility group protein B2 (High mobility group protein 2) (HMG-2)	Homo sapiens (Human)	209	HMGB2	HMGB2_HUMAN
A6NHT5	reviewed	Homeobox protein HMX3 (Homeobox protein H6 family member 3) (Homeobox protein Nkx-5.1)	Homo sapiens (Human)	357	HMX3	HMX3_HUMAN
O14979	reviewed	Heterogeneous nuclear ribonucleoprotein D-like (hnRNP D-like) (hnRNP DL) (AU-rich element RNA-binding factor) (JKT41-binding protein) (Protein laAUF1)	Homo sapiens (Human)	420	HNRNPDL	HNRDL_HUMAN
P31943	reviewed	Heterogeneous nuclear ribonucleoprotein H (hnRNP H) [Cleaved into: Heterogeneous nuclear ribonucleoprotein H, N-terminally processed]	Homo sapiens (Human)	449	HNRNPH1	HNRH1_HUMAN
P55795	reviewed	Heterogeneous nuclear ribonucleoprotein H2 (hnRNP H2) (FTP-3) (Heterogeneous nuclear ribonucleoprotein H') (hnRNP H') [Cleaved into: Heterogeneous nuclear ribonucleoprotein H2, N-terminally processed]	Homo sapiens (Human)	449	HNRNPH2	HNRH2_HUMAN
P31942	reviewed	Heterogeneous nuclear ribonucleoprotein H3 (hnRNP H3) (Heterogeneous nuclear ribonucleoprotein 2H9) (hnRNP 2H9)	Homo sapiens (Human)	346	HNRNPH3	HNRH3_HUMAN
Q9BUJ2	reviewed	Heterogeneous nuclear ribonucleoprotein U-like protein 1 (Adenovirus early region 1B-associated protein 5) (E1B-55 kDa-associated protein 5) (E1B-AP5)	Homo sapiens (Human)	856	HNRNPUL1	HNRL1_HUMAN
Q1KMD3	reviewed	Heterogeneous nuclear ribonucleoprotein U-like protein 2 (Scaffold-attachment factor A2) (SAF-A2)	Homo sapiens (Human)	747	HNRNPUL2	HNRL2_HUMAN
