yourlist:M20180831A7434721E10EE6586998A056CCD0537EA81BDB8	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
AHNK_HUMAN	Q09666	AHNK_HUMAN	reviewed	Neuroblast differentiation-associated protein AHNAK (Desmoyokin)	AHNAK PM227	Homo sapiens (Human)	5890
AHNK2_HUMAN	Q8IVF2	AHNK2_HUMAN	reviewed	Protein AHNAK2	AHNAK2 C14orf78 KIAA2019	Homo sapiens (Human)	5795
AKAP8_HUMAN	O43823	AKAP8_HUMAN	reviewed	A-kinase anchor protein 8 (AKAP-8) (A-kinase anchor protein 95 kDa) (AKAP 95)	AKAP8 AKAP95	Homo sapiens (Human)	692
ALBU_BOVIN	P02769	ALBU_BOVIN	reviewed	Serum albumin (BSA) (allergen Bos d 6)	ALB	Bos taurus (Bovine)	607
ALBU_HUMAN	P02768	ALBU_HUMAN	reviewed	Serum albumin	ALB GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341	Homo sapiens (Human)	609
CD166_HUMAN	Q13740	CD166_HUMAN	reviewed	CD166 antigen (Activated leukocyte cell adhesion molecule) (CD antigen CD166)	ALCAM MEMD	Homo sapiens (Human)	583
P5CS_HUMAN	P54886	P5CS_HUMAN	reviewed	Delta-1-pyrroline-5-carboxylate synthase (P5CS) (Aldehyde dehydrogenase family 18 member A1) [Includes: Glutamate 5-kinase (GK) (EC 2.7.2.11) (Gamma-glutamyl kinase); Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)]	ALDH18A1 GSAS P5CS PYCS	Homo sapiens (Human)	795
ALDOA_HUMAN	P04075	ALDOA_HUMAN	reviewed	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)	ALDOA ALDA	Homo sapiens (Human)	364
THOC4_HUMAN	Q86V81	THOC4_HUMAN	reviewed	THO complex subunit 4 (Tho4) (Ally of AML-1 and LEF-1) (Aly/REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing factor BEF)	ALYREF ALY BEF THOC4	Homo sapiens (Human)	257
ANLN_HUMAN	Q9NQW6	ANLN_HUMAN	reviewed	Anillin	ANLN	Homo sapiens (Human)	1124
AN32A_HUMAN	P39687	AN32A_HUMAN	reviewed	Acidic leucine-rich nuclear phosphoprotein 32 family member A (Acidic nuclear phosphoprotein pp32) (pp32) (Leucine-rich acidic nuclear protein) (LANP) (Mapmodulin) (Potent heat-stable protein phosphatase 2A inhibitor I1PP2A) (Putative HLA-DR-associated protein I) (PHAPI)	ANP32A C15orf1 LANP MAPM PHAP1	Homo sapiens (Human)	249
AN32B_HUMAN	Q92688	AN32B_HUMAN	reviewed	Acidic leucine-rich nuclear phosphoprotein 32 family member B (Acidic protein rich in leucines) (Putative HLA-DR-associated protein I-2) (PHAPI2) (Silver-stainable protein SSP29)	ANP32B APRIL PHAPI2	Homo sapiens (Human)	251
AN32E_HUMAN	Q9BTT0	AN32E_HUMAN	reviewed	Acidic leucine-rich nuclear phosphoprotein 32 family member E (LANP-like protein) (LANP-L)	ANP32E	Homo sapiens (Human)	268
ANXA2_HUMAN	P07355	ANXA2_HUMAN	reviewed	Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36)	ANXA2 ANX2 ANX2L4 CAL1H LPC2D	Homo sapiens (Human)	339
ACPH_HUMAN	P13798	ACPH_HUMAN	reviewed	Acylamino-acid-releasing enzyme (AARE) (EC 3.4.19.1) (Acyl-peptide hydrolase) (APH) (Acylaminoacyl-peptidase) (Oxidized protein hydrolase) (OPH)	APEH D3F15S2 D3S48E DNF15S2	Homo sapiens (Human)	732
API5_HUMAN	Q9BZZ5	API5_HUMAN	reviewed	Apoptosis inhibitor 5 (API-5) (Antiapoptosis clone 11 protein) (AAC-11) (Cell migration-inducing gene 8 protein) (Fibroblast growth factor 2-interacting factor) (FIF) (Protein XAGL)	API5 MIG8	Homo sapiens (Human)	524
AT1A1_HUMAN	P05023	AT1A1_HUMAN	reviewed	Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 3.6.3.9) (Sodium pump subunit alpha-1)	ATP1A1	Homo sapiens (Human)	1023
AT1B1_HUMAN	P05026	AT1B1_HUMAN	reviewed	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)	ATP1B1 ATP1B	Homo sapiens (Human)	303
ATPA_HUMAN	P25705	ATPA_HUMAN	reviewed	ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)	ATP5F1A ATP5A ATP5A1 ATP5AL2 ATPM	Homo sapiens (Human)	553
ATPB_HUMAN	P06576	ATPB_HUMAN	reviewed	ATP synthase subunit beta, mitochondrial (EC 3.6.3.14) (ATP synthase F1 subunit beta)	ATP5F1B ATP5B ATPMB ATPSB	Homo sapiens (Human)	529
ATX2L_HUMAN	Q8WWM7	ATX2L_HUMAN	reviewed	Ataxin-2-like protein (Ataxin-2 domain protein) (Ataxin-2-related protein)	ATXN2L A2D A2LG A2LP A2RP	Homo sapiens (Human)	1075
BCLF1_HUMAN	Q9NYF8	BCLF1_HUMAN	reviewed	Bcl-2-associated transcription factor 1 (Btf) (BCLAF1 and THRAP3 family member 1)	BCLAF1 BTF KIAA0164	Homo sapiens (Human)	920
BASI_HUMAN	P35613	BASI_HUMAN	reviewed	Basigin (5F7) (Collagenase stimulatory factor) (Extracellular matrix metalloproteinase inducer) (EMMPRIN) (Leukocyte activation antigen M6) (OK blood group antigen) (Tumor cell-derived collagenase stimulatory factor) (TCSF) (CD antigen CD147)	BSG UNQ6505/PRO21383	Homo sapiens (Human)	385
BTF3_HUMAN	P20290	BTF3_HUMAN	reviewed	Transcription factor BTF3 (Nascent polypeptide-associated complex subunit beta) (NAC-beta) (RNA polymerase B transcription factor 3)	BTF3 NACB OK/SW-cl.8	Homo sapiens (Human)	206
BYST_HUMAN	Q13895	BYST_HUMAN	reviewed	Bystin	BYSL	Homo sapiens (Human)	437
PYR1_HUMAN	P27708	PYR1_HUMAN	reviewed	CAD protein [Includes: Glutamine-dependent carbamoyl-phosphate synthase (EC 6.3.5.5); Aspartate carbamoyltransferase (EC 2.1.3.2); Dihydroorotase (EC 3.5.2.3)]	CAD	Homo sapiens (Human)	2225
CAND1_HUMAN	Q86VP6	CAND1_HUMAN	reviewed	Cullin-associated NEDD8-dissociated protein 1 (Cullin-associated and neddylation-dissociated protein 1) (TBP-interacting protein of 120 kDa A) (TBP-interacting protein 120A) (p120 CAND1)	CAND1 KIAA0829 TIP120 TIP120A	Homo sapiens (Human)	1230
CAPR1_HUMAN	Q14444	CAPR1_HUMAN	reviewed	Caprin-1 (Cell cycle-associated protein 1) (Cytoplasmic activation- and proliferation-associated protein 1) (GPI-anchored membrane protein 1) (GPI-anchored protein p137) (GPI-p137) (p137GPI) (Membrane component chromosome 11 surface marker 1) (RNA granule protein 105)	CAPRIN1 GPIAP1 GPIP137 M11S1 RNG105	Homo sapiens (Human)	709
CCAR2_HUMAN	Q8N163	CCAR2_HUMAN	reviewed	Cell cycle and apoptosis regulator protein 2 (Cell division cycle and apoptosis regulator protein 2) (DBIRD complex subunit KIAA1967) (Deleted in breast cancer gene 1 protein) (DBC-1) (DBC.1) (NET35) (p30 DBC)	CCAR2 DBC1 KIAA1967	Homo sapiens (Human)	923
TCPB_HUMAN	P78371	TCPB_HUMAN	reviewed	T-complex protein 1 subunit beta (TCP-1-beta) (CCT-beta)	CCT2 99D8.1 CCTB	Homo sapiens (Human)	535
TCPD_HUMAN	P50991	TCPD_HUMAN	reviewed	T-complex protein 1 subunit delta (TCP-1-delta) (CCT-delta) (Stimulator of TAR RNA-binding)	CCT4 CCTD SRB	Homo sapiens (Human)	539
TCPE_HUMAN	P48643	TCPE_HUMAN	reviewed	T-complex protein 1 subunit epsilon (TCP-1-epsilon) (CCT-epsilon)	CCT5 CCTE KIAA0098	Homo sapiens (Human)	541
TCPZ_HUMAN	P40227	TCPZ_HUMAN	reviewed	T-complex protein 1 subunit zeta (TCP-1-zeta) (Acute morphine dependence-related protein 2) (CCT-zeta-1) (HTR3) (Tcp20)	CCT6A CCT6 CCTZ	Homo sapiens (Human)	531
TCPH_HUMAN	Q99832	TCPH_HUMAN	reviewed	T-complex protein 1 subunit eta (TCP-1-eta) (CCT-eta) (HIV-1 Nef-interacting protein) [Cleaved into: T-complex protein 1 subunit eta, N-terminally processed]	CCT7 CCTH NIP7-1	Homo sapiens (Human)	543
TCPQ_HUMAN	P50990	TCPQ_HUMAN	reviewed	T-complex protein 1 subunit theta (TCP-1-theta) (CCT-theta) (Chaperonin containing T-complex polypeptide 1 subunit 8) (Renal carcinoma antigen NY-REN-15)	CCT8 C21orf112 CCTQ KIAA0002	Homo sapiens (Human)	548
CD44_HUMAN	P16070	CD44_HUMAN	reviewed	CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)	CD44 LHR MDU2 MDU3 MIC4	Homo sapiens (Human)	742
CDV3_HUMAN	Q9UKY7	CDV3_HUMAN	reviewed	Protein CDV3 homolog	CDV3 H41	Homo sapiens (Human)	258
CEBPZ_HUMAN	Q03701	CEBPZ_HUMAN	reviewed	CCAAT/enhancer-binding protein zeta (CCAAT-box-binding transcription factor) (CBF) (CCAAT-binding factor)	CEBPZ CBF2	Homo sapiens (Human)	1054
CELF1_HUMAN	Q92879	CELF1_HUMAN	reviewed	CUGBP Elav-like family member 1 (CELF-1) (50 kDa nuclear polyadenylated RNA-binding protein) (Bruno-like protein 2) (CUG triplet repeat RNA-binding protein 1) (CUG-BP1) (CUG-BP- and ETR-3-like factor 1) (Deadenylation factor CUG-BP) (Embryo deadenylation element-binding protein homolog) (EDEN-BP homolog) (RNA-binding protein BRUNOL-2)	CELF1 BRUNOL2 CUGBP CUGBP1 NAB50	Homo sapiens (Human)	486
CP131_HUMAN	Q9UPN4	CP131_HUMAN	reviewed	Centrosomal protein of 131 kDa (5-azacytidine-induced protein 1) (Pre-acrosome localization protein 1)	CEP131 AZI1 KIAA1118	Homo sapiens (Human)	1083
COF1_HUMAN	P23528	COF1_HUMAN	reviewed	Cofilin-1 (18 kDa phosphoprotein) (p18) (Cofilin, non-muscle isoform)	CFL1 CFL	Homo sapiens (Human)	166
CHD1_HUMAN	O14646	CHD1_HUMAN	reviewed	Chromodomain-helicase-DNA-binding protein 1 (CHD-1) (EC 3.6.4.12) (ATP-dependent helicase CHD1)	CHD1	Homo sapiens (Human)	1710
CIRBP_HUMAN	Q14011	CIRBP_HUMAN	reviewed	Cold-inducible RNA-binding protein (A18 hnRNP) (Glycine-rich RNA-binding protein CIRP)	CIRBP A18HNRNP CIRP	Homo sapiens (Human)	172
CTRO_HUMAN	O14578	CTRO_HUMAN	reviewed	Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Serine/threonine-protein kinase 21)	CIT CRIK KIAA0949 STK21	Homo sapiens (Human)	2027
CKAP4_HUMAN	Q07065	CKAP4_HUMAN	reviewed	Cytoskeleton-associated protein 4 (63-kDa cytoskeleton-linking membrane protein) (Climp-63) (p63)	CKAP4	Homo sapiens (Human)	602
CKAP5_HUMAN	Q14008	CKAP5_HUMAN	reviewed	Cytoskeleton-associated protein 5 (Colonic and hepatic tumor overexpressed gene protein) (Ch-TOG)	CKAP5 KIAA0097	Homo sapiens (Human)	2032
CLIC1_HUMAN	O00299	CLIC1_HUMAN	reviewed	Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC)	CLIC1 G6 NCC27	Homo sapiens (Human)	241
CLH1_HUMAN	Q00610	CLH1_HUMAN	reviewed	Clathrin heavy chain 1 (Clathrin heavy chain on chromosome 17) (CLH-17)	CLTC CLH17 CLTCL2 KIAA0034	Homo sapiens (Human)	1675
CLU_HUMAN	O75153	CLU_HUMAN	reviewed	Clustered mitochondria protein homolog	CLUH KIAA0664	Homo sapiens (Human)	1309
CNN3_HUMAN	Q15417	CNN3_HUMAN	reviewed	Calponin-3 (Calponin, acidic isoform)	CNN3	Homo sapiens (Human)	329
COPA_HUMAN	P53621	COPA_HUMAN	reviewed	Coatomer subunit alpha (Alpha-coat protein) (Alpha-COP) (HEP-COP) (HEPCOP) [Cleaved into: Xenin (Xenopsin-related peptide); Proxenin]	COPA	Homo sapiens (Human)	1224
CPNE4_HUMAN	Q96A23	CPNE4_HUMAN	reviewed	Copine-4 (Copine IV) (Copine-8)	CPNE4	Homo sapiens (Human)	557
CISY_HUMAN	O75390	CISY_HUMAN	reviewed	Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)	CS	Homo sapiens (Human)	466
CSDE1_HUMAN	O75534	CSDE1_HUMAN	reviewed	Cold shock domain-containing protein E1 (N-ras upstream gene protein) (Protein UNR)	CSDE1 D1S155E KIAA0885 NRU UNR	Homo sapiens (Human)	798
XPO2_HUMAN	P55060	XPO2_HUMAN	reviewed	Exportin-2 (Exp2) (Cellular apoptosis susceptibility protein) (Chromosome segregation 1-like protein) (Importin-alpha re-exporter)	CSE1L CAS XPO2	Homo sapiens (Human)	971
CSTF2_HUMAN	P33240	CSTF2_HUMAN	reviewed	Cleavage stimulation factor subunit 2 (CF-1 64 kDa subunit) (Cleavage stimulation factor 64 kDa subunit) (CSTF 64 kDa subunit) (CstF-64)	CSTF2	Homo sapiens (Human)	577
CTR9_HUMAN	Q6PD62	CTR9_HUMAN	reviewed	RNA polymerase-associated protein CTR9 homolog (SH2 domain-binding protein 1)	CTR9 KIAA0155 SH2BP1	Homo sapiens (Human)	1173
CYFP1_HUMAN	Q7L576	CYFP1_HUMAN	reviewed	Cytoplasmic FMR1-interacting protein 1 (Specifically Rac1-associated protein 1) (Sra-1) (p140sra-1)	CYFIP1 KIAA0068	Homo sapiens (Human)	1253
CYR61_HUMAN	O00622	CYR61_HUMAN	reviewed	Protein CYR61 (CCN family member 1) (Cysteine-rich angiogenic inducer 61) (Insulin-like growth factor-binding protein 10) (IBP-10) (IGF-binding protein 10) (IGFBP-10) (Protein GIG1)	CYR61 CCN1 GIG1 IGFBP10	Homo sapiens (Human)	381
DAZP1_HUMAN	Q96EP5	DAZP1_HUMAN	reviewed	DAZ-associated protein 1 (Deleted in azoospermia-associated protein 1)	DAZAP1	Homo sapiens (Human)	407
DCTN1_HUMAN	Q14203	DCTN1_HUMAN	reviewed	Dynactin subunit 1 (150 kDa dynein-associated polypeptide) (DAP-150) (DP-150) (p135) (p150-glued)	DCTN1	Homo sapiens (Human)	1278
DDB1_HUMAN	Q16531	DDB1_HUMAN	reviewed	DNA damage-binding protein 1 (DDB p127 subunit) (DNA damage-binding protein a) (DDBa) (Damage-specific DNA-binding protein 1) (HBV X-associated protein 1) (XAP-1) (UV-damaged DNA-binding factor) (UV-damaged DNA-binding protein 1) (UV-DDB 1) (XPE-binding factor) (XPE-BF) (Xeroderma pigmentosum group E-complementing protein) (XPCe)	DDB1 XAP1	Homo sapiens (Human)	1140
DDX1_HUMAN	Q92499	DDX1_HUMAN	reviewed	ATP-dependent RNA helicase DDX1 (EC 3.6.4.13) (DEAD box protein 1) (DEAD box protein retinoblastoma) (DBP-RB)	DDX1	Homo sapiens (Human)	740
DDX17_HUMAN	Q92841	DDX17_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX17 (EC 3.6.4.13) (DEAD box protein 17) (DEAD box protein p72) (DEAD box protein p82) (RNA-dependent helicase p72)	DDX17	Homo sapiens (Human)	729
DDX21_HUMAN	Q9NR30	DDX21_HUMAN	reviewed	Nucleolar RNA helicase 2 (EC 3.6.4.13) (DEAD box protein 21) (Gu-alpha) (Nucleolar RNA helicase Gu) (Nucleolar RNA helicase II) (RH II/Gu)	DDX21	Homo sapiens (Human)	783
DDX24_HUMAN	Q9GZR7	DDX24_HUMAN	reviewed	ATP-dependent RNA helicase DDX24 (EC 3.6.4.13) (DEAD box protein 24)	DDX24	Homo sapiens (Human)	859
DDX27_HUMAN	Q96GQ7	DDX27_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX27 (EC 3.6.4.13) (DEAD box protein 27)	DDX27 cPERP-F RHLP HSPC259 PP3241	Homo sapiens (Human)	796
DDX3X_HUMAN	O00571	DDX3X_HUMAN	reviewed	ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (Helicase-like protein 2) (HLP2)	DDX3X DBX DDX3	Homo sapiens (Human)	662
DDX46_HUMAN	Q7L014	DDX46_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX46 (EC 3.6.4.13) (DEAD box protein 46) (PRP5 homolog)	DDX46 KIAA0801	Homo sapiens (Human)	1031
DDX47_HUMAN	Q9H0S4	DDX47_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX47 (EC 3.6.4.13) (DEAD box protein 47)	DDX47	Homo sapiens (Human)	455
DDX5_HUMAN	P17844	DDX5_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX5 (EC 3.6.4.13) (DEAD box protein 5) (RNA helicase p68)	DDX5 G17P1 HELR HLR1	Homo sapiens (Human)	614
DDX54_HUMAN	Q8TDD1	DDX54_HUMAN	reviewed	ATP-dependent RNA helicase DDX54 (EC 3.6.4.13) (ATP-dependent RNA helicase DP97) (DEAD box RNA helicase 97 kDa) (DEAD box protein 54)	DDX54	Homo sapiens (Human)	881
DDX56_HUMAN	Q9NY93	DDX56_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX56 (EC 3.6.4.13) (ATP-dependent 61 kDa nucleolar RNA helicase) (DEAD box protein 21) (DEAD box protein 56)	DDX56 DDX21 NOH61	Homo sapiens (Human)	547
DEK_HUMAN	P35659	DEK_HUMAN	reviewed	Protein DEK	DEK	Homo sapiens (Human)	375
DHRS2_HUMAN	Q13268	DHRS2_HUMAN	reviewed	Dehydrogenase/reductase SDR family member 2, mitochondrial (EC 1.1.1.-) (Dicarbonyl reductase HEP27) (Protein D) (Short chain dehydrogenase/reductase family 25C member 1)	DHRS2 SDR25C1	Homo sapiens (Human)	280
DHX15_HUMAN	O43143	DHX15_HUMAN	reviewed	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (ATP-dependent RNA helicase #46) (DEAH box protein 15)	DHX15 DBP1 DDX15	Homo sapiens (Human)	795
DHX29_HUMAN	Q7Z478	DHX29_HUMAN	reviewed	ATP-dependent RNA helicase DHX29 (EC 3.6.4.13) (DEAH box protein 29) (Nucleic acid helicase DDXx)	DHX29 DDX29	Homo sapiens (Human)	1369
DHX30_HUMAN	Q7L2E3	DHX30_HUMAN	reviewed	Putative ATP-dependent RNA helicase DHX30 (EC 3.6.4.13) (DEAH box protein 30)	DHX30 DDX30 KIAA0890	Homo sapiens (Human)	1194
DHX9_HUMAN	Q08211	DHX9_HUMAN	reviewed	ATP-dependent RNA helicase A (EC 3.6.4.13) (DEAH box protein 9) (DExH-box helicase 9) (Leukophysin) (LKP) (Nuclear DNA helicase II) (NDH II) (RNA helicase A)	DHX9 DDX9 LKP NDH2	Homo sapiens (Human)	1270
DKC1_HUMAN	O60832	DKC1_HUMAN	reviewed	H/ACA ribonucleoprotein complex subunit DKC1 (EC 5.4.99.-) (CBF5 homolog) (Dyskerin) (Nopp140-associated protein of 57 kDa) (Nucleolar protein NAP57) (Nucleolar protein family A member 4) (snoRNP protein DKC1)	DKC1 NOLA4	Homo sapiens (Human)	514
DYH8_HUMAN	Q96JB1	DYH8_HUMAN	reviewed	Dynein heavy chain 8, axonemal (Axonemal beta dynein heavy chain 8) (Ciliary dynein heavy chain 8)	DNAH8	Homo sapiens (Human)	4490
DNJA1_HUMAN	P31689	DNJA1_HUMAN	reviewed	DnaJ homolog subfamily A member 1 (DnaJ protein homolog 2) (HSDJ) (Heat shock 40 kDa protein 4) (Heat shock protein J2) (HSJ-2) (Human DnaJ protein 2) (hDj-2)	DNAJA1 DNAJ2 HDJ2 HSJ2 HSPF4	Homo sapiens (Human)	397
DNJC2_HUMAN	Q99543	DNJC2_HUMAN	reviewed	DnaJ homolog subfamily C member 2 (M-phase phosphoprotein 11) (Zuotin-related factor 1) [Cleaved into: DnaJ homolog subfamily C member 2, N-terminally processed]	DNAJC2 MPHOSPH11 MPP11 ZRF1	Homo sapiens (Human)	621
DRG1_HUMAN	Q9Y295	DRG1_HUMAN	reviewed	Developmentally-regulated GTP-binding protein 1 (DRG-1) (Neural precursor cell expressed developmentally down-regulated protein 3) (NEDD-3)	DRG1 NEDD3	Homo sapiens (Human)	367
DYHC1_HUMAN	Q14204	DYHC1_HUMAN	reviewed	Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)	DYNC1H1 DHC1 DNCH1 DNCL DNECL DYHC KIAA0325	Homo sapiens (Human)	4646
EBP2_HUMAN	Q99848	EBP2_HUMAN	reviewed	Probable rRNA-processing protein EBP2 (EBNA1-binding protein 2) (Nucleolar protein p40)	EBNA1BP2 EBP2	Homo sapiens (Human)	306
EDF1_HUMAN	O60869	EDF1_HUMAN	reviewed	Endothelial differentiation-related factor 1 (EDF-1) (Multiprotein-bridging factor 1) (MBF1)	EDF1	Homo sapiens (Human)	148
EF1A1_HUMAN	P68104	EF1A1_HUMAN	reviewed	Elongation factor 1-alpha 1 (EF-1-alpha-1) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1) (Leukocyte receptor cluster member 7)	EEF1A1 EEF1A EF1A LENG7	Homo sapiens (Human)	462
EF1A3_HUMAN	Q5VTE0	EF1A3_HUMAN	reviewed	Putative elongation factor 1-alpha-like 3 (EF-1-alpha-like 3) (Eukaryotic elongation factor 1 A-like 3) (eEF1A-like 3) (Eukaryotic translation elongation factor 1 alpha-1 pseudogene 5)	EEF1A1P5 EEF1AL3	Homo sapiens (Human)	462
EF1D_HUMAN	P29692	EF1D_HUMAN	reviewed	Elongation factor 1-delta (EF-1-delta) (Antigen NY-CO-4)	EEF1D EF1D	Homo sapiens (Human)	281
EF1G_HUMAN	P26641	EF1G_HUMAN	reviewed	Elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma)	EEF1G EF1G PRO1608	Homo sapiens (Human)	437
EF2_HUMAN	P13639	EF2_HUMAN	reviewed	Elongation factor 2 (EF-2)	EEF2 EF2	Homo sapiens (Human)	858
U5S1_HUMAN	Q15029	U5S1_HUMAN	reviewed	116 kDa U5 small nuclear ribonucleoprotein component (Elongation factor Tu GTP-binding domain-containing protein 2) (SNU114 homolog) (hSNU114) (U5 snRNP-specific protein, 116 kDa) (U5-116 kDa)	EFTUD2 KIAA0031 SNRP116	Homo sapiens (Human)	972
E2AK2_HUMAN	P19525	E2AK2_HUMAN	reviewed	Interferon-induced, double-stranded RNA-activated protein kinase (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Interferon-inducible RNA-dependent protein kinase) (P1/eIF-2A protein kinase) (Protein kinase RNA-activated) (PKR) (Protein kinase R) (Tyrosine-protein kinase EIF2AK2) (EC 2.7.10.2) (p68 kinase)	EIF2AK2 PKR PRKR	Homo sapiens (Human)	551
IF2A_HUMAN	P05198	IF2A_HUMAN	reviewed	Eukaryotic translation initiation factor 2 subunit 1 (Eukaryotic translation initiation factor 2 subunit alpha) (eIF-2-alpha) (eIF-2A) (eIF-2alpha)	EIF2S1 EIF2A	Homo sapiens (Human)	315
EIF3A_HUMAN	Q14152	EIF3A_HUMAN	reviewed	Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Eukaryotic translation initiation factor 3 subunit 10) (eIF-3-theta) (eIF3 p167) (eIF3 p180) (eIF3 p185)	EIF3A EIF3S10 KIAA0139	Homo sapiens (Human)	1382
EIF3B_HUMAN	P55884	EIF3B_HUMAN	reviewed	Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Eukaryotic translation initiation factor 3 subunit 9) (Prt1 homolog) (hPrt1) (eIF-3-eta) (eIF3 p110) (eIF3 p116)	EIF3B EIF3S9	Homo sapiens (Human)	814
EIF3C_HUMAN	Q99613	EIF3C_HUMAN	reviewed	Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 subunit 8) (eIF3 p110)	EIF3C EIF3S8	Homo sapiens (Human)	913
EIF3E_HUMAN	P60228	EIF3E_HUMAN	reviewed	Eukaryotic translation initiation factor 3 subunit E (eIF3e) (Eukaryotic translation initiation factor 3 subunit 6) (Viral integration site protein INT-6 homolog) (eIF-3 p48)	EIF3E EIF3S6 INT6	Homo sapiens (Human)	445
