yourlist:M20180828A7434721E10EE6586998A056CCD0537EA67279F	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
ENOA_HUMAN	P06733	ENOA_HUMAN	reviewed	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	ENO1 ENO1L1 MBPB1 MPB1	Homo sapiens (Human)	434
RBBP6_HUMAN	Q7Z6E9	RBBP6_HUMAN	reviewed	E3 ubiquitin-protein ligase RBBP6 (EC 2.3.2.27) (Proliferation potential-related protein) (Protein P2P-R) (RING-type E3 ubiquitin transferase RBBP6) (Retinoblastoma-binding Q protein 1) (RBQ-1) (Retinoblastoma-binding protein 6) (p53-associated cellular protein of testis)	RBBP6 P2PR PACT RBQ1 My038	Homo sapiens (Human)	1792
AMPN_HUMAN	P15144	AMPN_HUMAN	reviewed	Aminopeptidase N (AP-N) (hAPN) (EC 3.4.11.2) (Alanyl aminopeptidase) (Aminopeptidase M) (AP-M) (Microsomal aminopeptidase) (Myeloid plasma membrane glycoprotein CD13) (gp150) (CD antigen CD13)	ANPEP APN CD13 PEPN	Homo sapiens (Human)	967
HNRPC_HUMAN	P07910	HNRPC_HUMAN	reviewed	Heterogeneous nuclear ribonucleoproteins C1/C2 (hnRNP C1/C2)	HNRNPC HNRPC	Homo sapiens (Human)	306
PRC2C_HUMAN	Q9Y520	PRC2C_HUMAN	reviewed	Protein PRRC2C (BAT2 domain-containing protein 1) (HBV X-transactivated gene 2 protein) (HBV XAg-transactivated protein 2) (HLA-B-associated transcript 2-like 2) (Proline-rich and coiled-coil-containing protein 2C)	PRRC2C BAT2D1 BAT2L2 KIAA1096 XTP2	Homo sapiens (Human)	2896
DDX21_HUMAN	Q9NR30	DDX21_HUMAN	reviewed	Nucleolar RNA helicase 2 (EC 3.6.4.13) (DEAD box protein 21) (Gu-alpha) (Nucleolar RNA helicase Gu) (Nucleolar RNA helicase II) (RH II/Gu)	DDX21	Homo sapiens (Human)	783
PTBP1_HUMAN	P26599	PTBP1_HUMAN	reviewed	Polypyrimidine tract-binding protein 1 (PTB) (57 kDa RNA-binding protein PPTB-1) (Heterogeneous nuclear ribonucleoprotein I) (hnRNP I)	PTBP1 PTB	Homo sapiens (Human)	531
LARP1_HUMAN	Q6PKG0	LARP1_HUMAN	reviewed	La-related protein 1 (La ribonucleoprotein domain family member 1)	LARP1 KIAA0731 LARP	Homo sapiens (Human)	1096
CSDE1_HUMAN	O75534	CSDE1_HUMAN	reviewed	Cold shock domain-containing protein E1 (N-ras upstream gene protein) (Protein UNR)	CSDE1 D1S155E KIAA0885 NRU UNR	Homo sapiens (Human)	798
F120A_HUMAN	Q9NZB2	F120A_HUMAN	reviewed	Constitutive coactivator of PPAR-gamma-like protein 1 (Oxidative stress-associated Src activator) (Protein FAM120A)	FAM120A C9orf10 KIAA0183 OSSA	Homo sapiens (Human)	1118
AHNK_HUMAN	Q09666	AHNK_HUMAN	reviewed	Neuroblast differentiation-associated protein AHNAK (Desmoyokin)	AHNAK PM227	Homo sapiens (Human)	5890
FUBP2_HUMAN	Q92945	FUBP2_HUMAN	reviewed	Far upstream element-binding protein 2 (FUSE-binding protein 2) (KH type-splicing regulatory protein) (KSRP) (p75)	KHSRP FUBP2	Homo sapiens (Human)	711
HNRH1_HUMAN	P31943	HNRH1_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein H (hnRNP H) [Cleaved into: Heterogeneous nuclear ribonucleoprotein H, N-terminally processed]	HNRNPH1 HNRPH HNRPH1	Homo sapiens (Human)	449
KI67_HUMAN	P46013	KI67_HUMAN	reviewed	Proliferation marker protein Ki-67 (Antigen identified by monoclonal antibody Ki-67) (Antigen KI-67) (Antigen Ki67)	MKI67	Homo sapiens (Human)	3256
RL1D1_HUMAN	O76021	RL1D1_HUMAN	reviewed	Ribosomal L1 domain-containing protein 1 (CATX-11) (Cellular senescence-inhibited gene protein) (Protein PBK1)	RSL1D1 CATX11 CSIG PBK1 L12	Homo sapiens (Human)	490
HNRPU_HUMAN	Q00839	HNRPU_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein U (hnRNP U) (GRIP120) (Nuclear p120 ribonucleoprotein) (Scaffold-attachment factor A) (SAF-A) (p120) (pp120)	HNRNPU C1orf199 HNRPU SAFA U21.1	Homo sapiens (Human)	825
DHX9_HUMAN	Q08211	DHX9_HUMAN	reviewed	ATP-dependent RNA helicase A (EC 3.6.4.13) (DEAH box protein 9) (DExH-box helicase 9) (Leukophysin) (LKP) (Nuclear DNA helicase II) (NDH II) (RNA helicase A)	DHX9 DDX9 LKP NDH2	Homo sapiens (Human)	1270
ELAV1_HUMAN	Q15717	ELAV1_HUMAN	reviewed	ELAV-like protein 1 (Hu-antigen R) (HuR)	ELAVL1 HUR	Homo sapiens (Human)	326
FUBP3_HUMAN	Q96I24	FUBP3_HUMAN	reviewed	Far upstream element-binding protein 3 (FUSE-binding protein 3)	FUBP3 FBP3	Homo sapiens (Human)	572
PABP1_HUMAN	P11940	PABP1_HUMAN	reviewed	Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1)	PABPC1 PAB1 PABP1 PABPC2	Homo sapiens (Human)	636
HNRPR_HUMAN	O43390	HNRPR_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein R (hnRNP R)	HNRNPR HNRPR	Homo sapiens (Human)	633
BMS1_HUMAN	Q14692	BMS1_HUMAN	reviewed	Ribosome biogenesis protein BMS1 homolog (Ribosome assembly protein BMS1 homolog)	BMS1 BMS1L KIAA0187	Homo sapiens (Human)	1282
SND1_HUMAN	Q7KZF4	SND1_HUMAN	reviewed	Staphylococcal nuclease domain-containing protein 1 (100 kDa coactivator) (EBNA2 coactivator p100) (Tudor domain-containing protein 11) (p100 co-activator)	SND1 TDRD11	Homo sapiens (Human)	910
SFPQ_HUMAN	P23246	SFPQ_HUMAN	reviewed	Splicing factor, proline- and glutamine-rich (100 kDa DNA-pairing protein) (hPOMp100) (DNA-binding p52/p100 complex, 100 kDa subunit) (Polypyrimidine tract-binding protein-associated-splicing factor) (PSF) (PTB-associated-splicing factor)	SFPQ PSF	Homo sapiens (Human)	707
TCOF_HUMAN	Q13428	TCOF_HUMAN	reviewed	Treacle protein (Treacher Collins syndrome protein)	TCOF1	Homo sapiens (Human)	1488
MBB1A_HUMAN	Q9BQG0	MBB1A_HUMAN	reviewed	Myb-binding protein 1A	MYBBP1A P160	Homo sapiens (Human)	1328
UTP20_HUMAN	O75691	UTP20_HUMAN	reviewed	Small subunit processome component 20 homolog (Down-regulated in metastasis protein) (Novel nucleolar protein 73) (NNP73) (Protein Key-1A6)	UTP20 DRIM	Homo sapiens (Human)	2785
ROA2_HUMAN	P22626	ROA2_HUMAN	reviewed	Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1)	HNRNPA2B1 HNRPA2B1	Homo sapiens (Human)	353
VIGLN_HUMAN	Q00341	VIGLN_HUMAN	reviewed	Vigilin (High density lipoprotein-binding protein) (HDL-binding protein)	HDLBP HBP VGL	Homo sapiens (Human)	1268
ROA1_HUMAN	P09651	ROA1_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (Helix-destabilizing protein) (Single-strand RNA-binding protein) (hnRNP core protein A1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed]	HNRNPA1 HNRPA1	Homo sapiens (Human)	372
EIF3A_HUMAN	Q14152	EIF3A_HUMAN	reviewed	Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Eukaryotic translation initiation factor 3 subunit 10) (eIF-3-theta) (eIF3 p167) (eIF3 p180) (eIF3 p185)	EIF3A EIF3S10 KIAA0139	Homo sapiens (Human)	1382
PRC2A_HUMAN	P48634	PRC2A_HUMAN	reviewed	Protein PRRC2A (HLA-B-associated transcript 2) (Large proline-rich protein BAT2) (Proline-rich and coiled-coil-containing protein 2A) (Protein G2)	PRRC2A BAT2 G2	Homo sapiens (Human)	2157
HNRPF_HUMAN	P52597	HNRPF_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein F (hnRNP F) (Nucleolin-like protein mcs94-1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein F, N-terminally processed]	HNRNPF HNRPF	Homo sapiens (Human)	415
DDX3X_HUMAN	O00571	DDX3X_HUMAN	reviewed	ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (Helicase-like protein 2) (HLP2)	DDX3X DBX DDX3	Homo sapiens (Human)	662
PRP8_HUMAN	Q6P2Q9	PRP8_HUMAN	reviewed	Pre-mRNA-processing-splicing factor 8 (220 kDa U5 snRNP-specific protein) (PRP8 homolog) (Splicing factor Prp8) (p220)	PRPF8 PRPC8	Homo sapiens (Human)	2335
RS2_HUMAN	P15880	RS2_HUMAN	reviewed	40S ribosomal protein S2 (40S ribosomal protein S4) (Protein LLRep3) (Small ribosomal subunit protein uS5)	RPS2 RPS4	Homo sapiens (Human)	293
RENT1_HUMAN	Q92900	RENT1_HUMAN	reviewed	Regulator of nonsense transcripts 1 (EC 3.6.4.-) (ATP-dependent helicase RENT1) (Nonsense mRNA reducing factor 1) (NORF1) (Up-frameshift suppressor 1 homolog) (hUpf1)	UPF1 KIAA0221 RENT1	Homo sapiens (Human)	1129
PUM1_HUMAN	Q14671	PUM1_HUMAN	reviewed	Pumilio homolog 1 (HsPUM) (Pumilio-1)	PUM1 KIAA0099 PUMH1	Homo sapiens (Human)	1186
TIAR_HUMAN	Q01085	TIAR_HUMAN	reviewed	Nucleolysin TIAR (TIA-1-related protein)	TIAL1	Homo sapiens (Human)	375
CELF1_HUMAN	Q92879	CELF1_HUMAN	reviewed	CUGBP Elav-like family member 1 (CELF-1) (50 kDa nuclear polyadenylated RNA-binding protein) (Bruno-like protein 2) (CUG triplet repeat RNA-binding protein 1) (CUG-BP1) (CUG-BP- and ETR-3-like factor 1) (Deadenylation factor CUG-BP) (Embryo deadenylation element-binding protein homolog) (EDEN-BP homolog) (RNA-binding protein BRUNOL-2)	CELF1 BRUNOL2 CUGBP CUGBP1 NAB50	Homo sapiens (Human)	486
NONO_HUMAN	Q15233	NONO_HUMAN	reviewed	Non-POU domain-containing octamer-binding protein (NonO protein) (54 kDa nuclear RNA- and DNA-binding protein) (55 kDa nuclear protein) (DNA-binding p52/p100 complex, 52 kDa subunit) (NMT55) (p54(nrb)) (p54nrb)	NONO NRB54	Homo sapiens (Human)	471
ILF3_HUMAN	Q12906	ILF3_HUMAN	reviewed	Interleukin enhancer-binding factor 3 (Double-stranded RNA-binding protein 76) (DRBP76) (M-phase phosphoprotein 4) (MPP4) (Nuclear factor associated with dsRNA) (NFAR) (Nuclear factor of activated T-cells 90 kDa) (NF-AT-90) (Translational control protein 80) (TCP80)	ILF3 DRBF MPHOSPH4 NF90	Homo sapiens (Human)	894
PRKDC_HUMAN	P78527	PRKDC_HUMAN	reviewed	DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1) (DNPK1) (p460)	PRKDC HYRC HYRC1	Homo sapiens (Human)	4128
TADBP_HUMAN	Q13148	TADBP_HUMAN	reviewed	TAR DNA-binding protein 43 (TDP-43)	TARDBP TDP43	Homo sapiens (Human)	414
DDX54_HUMAN	Q8TDD1	DDX54_HUMAN	reviewed	ATP-dependent RNA helicase DDX54 (EC 3.6.4.13) (ATP-dependent RNA helicase DP97) (DEAD box RNA helicase 97 kDa) (DEAD box protein 54)	DDX54	Homo sapiens (Human)	881
G3BP1_HUMAN	Q13283	G3BP1_HUMAN	reviewed	Ras GTPase-activating protein-binding protein 1 (G3BP-1) (EC 3.6.4.12) (EC 3.6.4.13) (ATP-dependent DNA helicase VIII) (hDH VIII) (GAP SH3 domain-binding protein 1)	G3BP1 G3BP	Homo sapiens (Human)	466
UBP2L_HUMAN	Q14157	UBP2L_HUMAN	reviewed	Ubiquitin-associated protein 2-like (Protein NICE-4)	UBAP2L KIAA0144 NICE4	Homo sapiens (Human)	1087
MINT_HUMAN	Q96T58	MINT_HUMAN	reviewed	Msx2-interacting protein (SMART/HDAC1-associated repressor protein) (SPEN homolog)	SPEN KIAA0929 MINT SHARP	Homo sapiens (Human)	3664
RRP12_HUMAN	Q5JTH9	RRP12_HUMAN	reviewed	RRP12-like protein	RRP12 KIAA0690	Homo sapiens (Human)	1297
HNRPD_HUMAN	Q14103	HNRPD_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein D0 (hnRNP D0) (AU-rich element RNA-binding protein 1)	HNRNPD AUF1 HNRPD	Homo sapiens (Human)	355
RALY_HUMAN	Q9UKM9	RALY_HUMAN	reviewed	RNA-binding protein Raly (Autoantigen p542) (Heterogeneous nuclear ribonucleoprotein C-like 2) (hnRNP core protein C-like 2) (hnRNP associated with lethal yellow protein homolog)	RALY HNRPCL2 P542	Homo sapiens (Human)	306
YBOX3_HUMAN	P16989	YBOX3_HUMAN	reviewed	Y-box-binding protein 3 (Cold shock domain-containing protein A) (DNA-binding protein A) (Single-strand DNA-binding protein NF-GMB)	YBX3 CSDA DBPA	Homo sapiens (Human)	372
HNRPL_HUMAN	P14866	HNRPL_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein L (hnRNP L)	HNRNPL HNRPL P/OKcl.14	Homo sapiens (Human)	589
H12_HUMAN	P16403	H12_HUMAN	reviewed	Histone H1.2 (Histone H1c) (Histone H1d) (Histone H1s-1)	HIST1H1C H1F2	Homo sapiens (Human)	213
IF4B_HUMAN	P23588	IF4B_HUMAN	reviewed	Eukaryotic translation initiation factor 4B (eIF-4B)	EIF4B	Homo sapiens (Human)	611
PWP2_HUMAN	Q15269	PWP2_HUMAN	reviewed	Periodic tryptophan protein 2 homolog	PWP2 PWP2H	Homo sapiens (Human)	919
IF4G1_HUMAN	Q04637	IF4G1_HUMAN	reviewed	Eukaryotic translation initiation factor 4 gamma 1 (eIF-4-gamma 1) (eIF-4G 1) (eIF-4G1) (p220)	EIF4G1 EIF4F EIF4G EIF4GI	Homo sapiens (Human)	1599
RBM14_HUMAN	Q96PK6	RBM14_HUMAN	reviewed	RNA-binding protein 14 (Paraspeckle protein 2) (PSP2) (RNA-binding motif protein 14) (RRM-containing coactivator activator/modulator) (Synaptotagmin-interacting protein) (SYT-interacting protein)	RBM14 SIP	Homo sapiens (Human)	669
RRBP1_HUMAN	Q9P2E9	RRBP1_HUMAN	reviewed	Ribosome-binding protein 1 (180 kDa ribosome receptor homolog) (RRp) (ES/130-related protein) (Ribosome receptor protein)	RRBP1 KIAA1398	Homo sapiens (Human)	1410
UT14A_HUMAN	Q9BVJ6	UT14A_HUMAN	reviewed	U3 small nucleolar RNA-associated protein 14 homolog A (Antigen NY-CO-16) (Serologically defined colon cancer antigen 16)	UTP14A SDCCAG16	Homo sapiens (Human)	771
RBM19_HUMAN	Q9Y4C8	RBM19_HUMAN	reviewed	Probable RNA-binding protein 19 (RNA-binding motif protein 19)	RBM19 KIAA0682	Homo sapiens (Human)	960
RBMX_HUMAN	P38159	RBMX_HUMAN	reviewed	RNA-binding motif protein, X chromosome (Glycoprotein p43) (Heterogeneous nuclear ribonucleoprotein G) (hnRNP G) [Cleaved into: RNA-binding motif protein, X chromosome, N-terminally processed]	RBMX HNRPG RBMXP1	Homo sapiens (Human)	391
SRRM2_HUMAN	Q9UQ35	SRRM2_HUMAN	reviewed	Serine/arginine repetitive matrix protein 2 (300 kDa nuclear matrix antigen) (Serine/arginine-rich splicing factor-related nuclear matrix protein of 300 kDa) (SR-related nuclear matrix protein of 300 kDa) (Ser/Arg-related nuclear matrix protein of 300 kDa) (Splicing coactivator subunit SRm300) (Tax-responsive enhancer element-binding protein 803) (TaxREB803)	SRRM2 KIAA0324 SRL300 SRM300 HSPC075	Homo sapiens (Human)	2752
DDX5_HUMAN	P17844	DDX5_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX5 (EC 3.6.4.13) (DEAD box protein 5) (RNA helicase p68)	DDX5 G17P1 HELR HLR1	Homo sapiens (Human)	614
U2AF2_HUMAN	P26368	U2AF2_HUMAN	reviewed	Splicing factor U2AF 65 kDa subunit (U2 auxiliary factor 65 kDa subunit) (hU2AF(65)) (hU2AF65) (U2 snRNP auxiliary factor large subunit)	U2AF2 U2AF65	Homo sapiens (Human)	475
PCBP2_HUMAN	Q15366	PCBP2_HUMAN	reviewed	Poly(rC)-binding protein 2 (Alpha-CP2) (Heterogeneous nuclear ribonucleoprotein E2) (hnRNP E2)	PCBP2	Homo sapiens (Human)	365
PUM2_HUMAN	Q8TB72	PUM2_HUMAN	reviewed	Pumilio homolog 2 (Pumilio-2)	PUM2 KIAA0235 PUMH2	Homo sapiens (Human)	1066
RL6_HUMAN	Q02878	RL6_HUMAN	reviewed	60S ribosomal protein L6 (Large ribosomal subunit protein eL6) (Neoplasm-related protein C140) (Tax-responsive enhancer element-binding protein 107) (TaxREB107)	RPL6 TXREB1	Homo sapiens (Human)	288
MOV10_HUMAN	Q9HCE1	MOV10_HUMAN	reviewed	Putative helicase MOV-10 (EC 3.6.4.13) (Armitage homolog) (Moloney leukemia virus 10 protein)	MOV10 KIAA1631	Homo sapiens (Human)	1003
RBM28_HUMAN	Q9NW13	RBM28_HUMAN	reviewed	RNA-binding protein 28 (RNA-binding motif protein 28)	RBM28	Homo sapiens (Human)	759
EIFCL_HUMAN	B5ME19	EIFCL_HUMAN	reviewed	Eukaryotic translation initiation factor 3 subunit C-like protein	EIF3CL	Homo sapiens (Human)	914
RL8_HUMAN	P62917	RL8_HUMAN	reviewed	60S ribosomal protein L8 (Large ribosomal subunit protein uL2)	RPL8	Homo sapiens (Human)	257
ZCCHV_HUMAN	Q7Z2W4	ZCCHV_HUMAN	reviewed	Zinc finger CCCH-type antiviral protein 1 (ADP-ribosyltransferase diphtheria toxin-like 13) (ARTD13) (Zinc finger CCCH domain-containing protein 2) (Zinc finger antiviral protein) (ZAP)	ZC3HAV1 ZC3HDC2 PRO1677	Homo sapiens (Human)	902
ILF2_HUMAN	Q12905	ILF2_HUMAN	reviewed	Interleukin enhancer-binding factor 2 (Nuclear factor of activated T-cells 45 kDa)	ILF2 NF45 PRO3063	Homo sapiens (Human)	390
FLNB_HUMAN	O75369	FLNB_HUMAN	reviewed	Filamin-B (FLN-B) (ABP-278) (ABP-280 homolog) (Actin-binding-like protein) (Beta-filamin) (Filamin homolog 1) (Fh1) (Filamin-3) (Thyroid autoantigen) (Truncated actin-binding protein) (Truncated ABP)	FLNB FLN1L FLN3 TABP TAP	Homo sapiens (Human)	2602
SPB1_HUMAN	Q8IY81	SPB1_HUMAN	reviewed	pre-rRNA processing protein FTSJ3 (EC 2.1.1.-) (2'-O-ribose RNA methyltransferase SPB1 homolog) (Protein ftsJ homolog 3) (Putative rRNA methyltransferase 3)	FTSJ3 SB92	Homo sapiens (Human)	847
HNRH3_HUMAN	P31942	HNRH3_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein H3 (hnRNP H3) (Heterogeneous nuclear ribonucleoprotein 2H9) (hnRNP 2H9)	HNRNPH3 HNRPH3	Homo sapiens (Human)	346
DDX27_HUMAN	Q96GQ7	DDX27_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX27 (EC 3.6.4.13) (DEAD box protein 27)	DDX27 cPERP-F RHLP HSPC259 PP3241	Homo sapiens (Human)	796
