Entry	Status	Protein names	Organism	Length	Gene names  (primary )	Entry name
Q04695	reviewed	Keratin, type I cytoskeletal 17 (39.1) (Cytokeratin-17) (CK-17) (Keratin-17) (K17)	Homo sapiens (Human)	432	KRT17	K1C17_HUMAN
P14625	reviewed	Endoplasmin (94 kDa glucose-regulated protein) (GRP-94) (Heat shock protein 90 kDa beta member 1) (Tumor rejection antigen 1) (gp96 homolog)	Homo sapiens (Human)	803	HSP90B1	ENPL_HUMAN
P10809	reviewed	60 kDa heat shock protein, mitochondrial (EC 3.6.4.9) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60) (HuCHA60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein)	Homo sapiens (Human)	573	HSPD1	CH60_HUMAN
Q04837	reviewed	Single-stranded DNA-binding protein, mitochondrial (Mt-SSB) (MtSSB) (PWP1-interacting protein 17)	Homo sapiens (Human)	148	SSBP1	SSBP_HUMAN
P43243	reviewed	Matrin-3	Homo sapiens (Human)	847	MATR3	MATR3_HUMAN
Q15149	reviewed	Plectin (PCN) (PLTN) (Hemidesmosomal protein 1) (HD1) (Plectin-1)	Homo sapiens (Human)	4684	PLEC	PLEC_HUMAN
P11142	reviewed	Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1)	Homo sapiens (Human)	646	HSPA8	HSP7C_HUMAN
P13010	reviewed	X-ray repair cross-complementing protein 5 (EC 3.6.4.-) (86 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 2) (ATP-dependent DNA helicase II 80 kDa subunit) (CTC box-binding factor 85 kDa subunit) (CTC85) (CTCBF) (DNA repair protein XRCC5) (Ku80) (Ku86) (Lupus Ku autoantigen protein p86) (Nuclear factor IV) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining))	Homo sapiens (Human)	732	XRCC5	XRCC5_HUMAN
P62316	reviewed	Small nuclear ribonucleoprotein Sm D2 (Sm-D2) (snRNP core protein D2)	Homo sapiens (Human)	118	SNRPD2	SMD2_HUMAN
Q9UN86	reviewed	Ras GTPase-activating protein-binding protein 2 (G3BP-2) (GAP SH3 domain-binding protein 2)	Homo sapiens (Human)	482	G3BP2	G3BP2_HUMAN
P68371	reviewed	Tubulin beta-4B chain (Tubulin beta-2 chain) (Tubulin beta-2C chain)	Homo sapiens (Human)	445	TUBB4B	TBB4B_HUMAN
P42704	reviewed	Leucine-rich PPR motif-containing protein, mitochondrial (130 kDa leucine-rich protein) (LRP 130) (GP130)	Homo sapiens (Human)	1394	LRPPRC	LPPRC_HUMAN
P52272	reviewed	Heterogeneous nuclear ribonucleoprotein M (hnRNP M)	Homo sapiens (Human)	730	HNRNPM	HNRPM_HUMAN
P61978	reviewed	Heterogeneous nuclear ribonucleoprotein K (hnRNP K) (Transformation up-regulated nuclear protein) (TUNP)	Homo sapiens (Human)	463	HNRNPK	HNRPK_HUMAN
P36578	reviewed	60S ribosomal protein L4 (60S ribosomal protein L1) (Large ribosomal subunit protein uL4)	Homo sapiens (Human)	427	RPL4	RL4_HUMAN
Q8NC51	reviewed	Plasminogen activator inhibitor 1 RNA-binding protein (PAI1 RNA-binding protein 1) (PAI-RBP1) (SERPINE1 mRNA-binding protein 1)	Homo sapiens (Human)	408	SERBP1	PAIRB_HUMAN
P68363	reviewed	Tubulin alpha-1B chain (Alpha-tubulin ubiquitous) (Tubulin K-alpha-1) (Tubulin alpha-ubiquitous chain) [Cleaved into: Detyrosinated tubulin alpha-1B chain]	Homo sapiens (Human)	451	TUBA1B	TBA1B_HUMAN
P12532	reviewed	Creatine kinase U-type, mitochondrial (EC 2.7.3.2) (Acidic-type mitochondrial creatine kinase) (Mia-CK) (Ubiquitous mitochondrial creatine kinase) (U-MtCK)	Homo sapiens (Human)	417	CKMT1A; CKMT1B	KCRU_HUMAN
Q16666	reviewed	Gamma-interferon-inducible protein 16 (Ifi-16) (Interferon-inducible myeloid differentiation transcriptional activator)	Homo sapiens (Human)	785	IFI16	IF16_HUMAN
P62318	reviewed	Small nuclear ribonucleoprotein Sm D3 (Sm-D3) (snRNP core protein D3)	Homo sapiens (Human)	126	SNRPD3	SMD3_HUMAN
O60506	reviewed	Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein) (GRY-RBP) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein)	Homo sapiens (Human)	623	SYNCRIP	HNRPQ_HUMAN
P06733	reviewed	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	Homo sapiens (Human)	434	ENO1	ENOA_HUMAN
Q7Z6E9	reviewed	E3 ubiquitin-protein ligase RBBP6 (EC 2.3.2.27) (Proliferation potential-related protein) (Protein P2P-R) (RING-type E3 ubiquitin transferase RBBP6) (Retinoblastoma-binding Q protein 1) (RBQ-1) (Retinoblastoma-binding protein 6) (p53-associated cellular protein of testis)	Homo sapiens (Human)	1792	RBBP6	RBBP6_HUMAN
P15144	reviewed	Aminopeptidase N (AP-N) (hAPN) (EC 3.4.11.2) (Alanyl aminopeptidase) (Aminopeptidase M) (AP-M) (Microsomal aminopeptidase) (Myeloid plasma membrane glycoprotein CD13) (gp150) (CD antigen CD13)	Homo sapiens (Human)	967	ANPEP	AMPN_HUMAN
P07910	reviewed	Heterogeneous nuclear ribonucleoproteins C1/C2 (hnRNP C1/C2)	Homo sapiens (Human)	306	HNRNPC	HNRPC_HUMAN
Q9Y520	reviewed	Protein PRRC2C (BAT2 domain-containing protein 1) (HBV X-transactivated gene 2 protein) (HBV XAg-transactivated protein 2) (HLA-B-associated transcript 2-like 2) (Proline-rich and coiled-coil-containing protein 2C)	Homo sapiens (Human)	2896	PRRC2C	PRC2C_HUMAN
Q9NR30	reviewed	Nucleolar RNA helicase 2 (EC 3.6.4.13) (DEAD box protein 21) (Gu-alpha) (Nucleolar RNA helicase Gu) (Nucleolar RNA helicase II) (RH II/Gu)	Homo sapiens (Human)	783	DDX21	DDX21_HUMAN
P26599	reviewed	Polypyrimidine tract-binding protein 1 (PTB) (57 kDa RNA-binding protein PPTB-1) (Heterogeneous nuclear ribonucleoprotein I) (hnRNP I)	Homo sapiens (Human)	531	PTBP1	PTBP1_HUMAN
Q6PKG0	reviewed	La-related protein 1 (La ribonucleoprotein domain family member 1)	Homo sapiens (Human)	1096	LARP1	LARP1_HUMAN
O75534	reviewed	Cold shock domain-containing protein E1 (N-ras upstream gene protein) (Protein UNR)	Homo sapiens (Human)	798	CSDE1	CSDE1_HUMAN
Q9NZB2	reviewed	Constitutive coactivator of PPAR-gamma-like protein 1 (Oxidative stress-associated Src activator) (Protein FAM120A)	Homo sapiens (Human)	1118	FAM120A	F120A_HUMAN
Q09666	reviewed	Neuroblast differentiation-associated protein AHNAK (Desmoyokin)	Homo sapiens (Human)	5890	AHNAK	AHNK_HUMAN
Q92945	reviewed	Far upstream element-binding protein 2 (FUSE-binding protein 2) (KH type-splicing regulatory protein) (KSRP) (p75)	Homo sapiens (Human)	711	KHSRP	FUBP2_HUMAN
P31943	reviewed	Heterogeneous nuclear ribonucleoprotein H (hnRNP H) [Cleaved into: Heterogeneous nuclear ribonucleoprotein H, N-terminally processed]	Homo sapiens (Human)	449	HNRNPH1	HNRH1_HUMAN
P46013	reviewed	Proliferation marker protein Ki-67 (Antigen identified by monoclonal antibody Ki-67) (Antigen KI-67) (Antigen Ki67)	Homo sapiens (Human)	3256	MKI67	KI67_HUMAN
O76021	reviewed	Ribosomal L1 domain-containing protein 1 (CATX-11) (Cellular senescence-inhibited gene protein) (Protein PBK1)	Homo sapiens (Human)	490	RSL1D1	RL1D1_HUMAN
Q00839	reviewed	Heterogeneous nuclear ribonucleoprotein U (hnRNP U) (GRIP120) (Nuclear p120 ribonucleoprotein) (Scaffold-attachment factor A) (SAF-A) (p120) (pp120)	Homo sapiens (Human)	825	HNRNPU	HNRPU_HUMAN
Q08211	reviewed	ATP-dependent RNA helicase A (EC 3.6.4.13) (DEAH box protein 9) (DExH-box helicase 9) (Leukophysin) (LKP) (Nuclear DNA helicase II) (NDH II) (RNA helicase A)	Homo sapiens (Human)	1270	DHX9	DHX9_HUMAN
Q15717	reviewed	ELAV-like protein 1 (Hu-antigen R) (HuR)	Homo sapiens (Human)	326	ELAVL1	ELAV1_HUMAN
Q96I24	reviewed	Far upstream element-binding protein 3 (FUSE-binding protein 3)	Homo sapiens (Human)	572	FUBP3	FUBP3_HUMAN
P11940	reviewed	Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1)	Homo sapiens (Human)	636	PABPC1	PABP1_HUMAN
O43390	reviewed	Heterogeneous nuclear ribonucleoprotein R (hnRNP R)	Homo sapiens (Human)	633	HNRNPR	HNRPR_HUMAN
Q14692	reviewed	Ribosome biogenesis protein BMS1 homolog (Ribosome assembly protein BMS1 homolog)	Homo sapiens (Human)	1282	BMS1	BMS1_HUMAN
Q7KZF4	reviewed	Staphylococcal nuclease domain-containing protein 1 (EC 3.1.31.1) (100 kDa coactivator) (EBNA2 coactivator p100) (Tudor domain-containing protein 11) (p100 co-activator)	Homo sapiens (Human)	910	SND1	SND1_HUMAN
P23246	reviewed	Splicing factor, proline- and glutamine-rich (100 kDa DNA-pairing protein) (hPOMp100) (DNA-binding p52/p100 complex, 100 kDa subunit) (Polypyrimidine tract-binding protein-associated-splicing factor) (PSF) (PTB-associated-splicing factor)	Homo sapiens (Human)	707	SFPQ	SFPQ_HUMAN
Q13428	reviewed	Treacle protein (Treacher Collins syndrome protein)	Homo sapiens (Human)	1488	TCOF1	TCOF_HUMAN
Q9BQG0	reviewed	Myb-binding protein 1A	Homo sapiens (Human)	1328	MYBBP1A	MBB1A_HUMAN
O75691	reviewed	Small subunit processome component 20 homolog (Down-regulated in metastasis protein) (Novel nucleolar protein 73) (NNP73) (Protein Key-1A6)	Homo sapiens (Human)	2785	UTP20	UTP20_HUMAN
P22626	reviewed	Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1)	Homo sapiens (Human)	353	HNRNPA2B1	ROA2_HUMAN
Q00341	reviewed	Vigilin (High density lipoprotein-binding protein) (HDL-binding protein)	Homo sapiens (Human)	1268	HDLBP	VIGLN_HUMAN
P09651	reviewed	Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (Helix-destabilizing protein) (Single-strand RNA-binding protein) (hnRNP core protein A1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed]	Homo sapiens (Human)	372	HNRNPA1	ROA1_HUMAN
Q14152	reviewed	Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Eukaryotic translation initiation factor 3 subunit 10) (eIF-3-theta) (eIF3 p167) (eIF3 p180) (eIF3 p185)	Homo sapiens (Human)	1382	EIF3A	EIF3A_HUMAN
P48634	reviewed	Protein PRRC2A (HLA-B-associated transcript 2) (Large proline-rich protein BAT2) (Proline-rich and coiled-coil-containing protein 2A) (Protein G2)	Homo sapiens (Human)	2157	PRRC2A	PRC2A_HUMAN
P52597	reviewed	Heterogeneous nuclear ribonucleoprotein F (hnRNP F) (Nucleolin-like protein mcs94-1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein F, N-terminally processed]	Homo sapiens (Human)	415	HNRNPF	HNRPF_HUMAN
O00571	reviewed	ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (Helicase-like protein 2) (HLP2)	Homo sapiens (Human)	662	DDX3X	DDX3X_HUMAN
Q6P2Q9	reviewed	Pre-mRNA-processing-splicing factor 8 (220 kDa U5 snRNP-specific protein) (PRP8 homolog) (Splicing factor Prp8) (p220)	Homo sapiens (Human)	2335	PRPF8	PRP8_HUMAN
P15880	reviewed	40S ribosomal protein S2 (40S ribosomal protein S4) (Protein LLRep3) (Small ribosomal subunit protein uS5)	Homo sapiens (Human)	293	RPS2	RS2_HUMAN
Q92900	reviewed	Regulator of nonsense transcripts 1 (EC 3.6.4.-) (ATP-dependent helicase RENT1) (Nonsense mRNA reducing factor 1) (NORF1) (Up-frameshift suppressor 1 homolog) (hUpf1)	Homo sapiens (Human)	1129	UPF1	RENT1_HUMAN
Q14671	reviewed	Pumilio homolog 1 (HsPUM) (Pumilio-1)	Homo sapiens (Human)	1186	PUM1	PUM1_HUMAN
Q01085	reviewed	Nucleolysin TIAR (TIA-1-related protein)	Homo sapiens (Human)	375	TIAL1	TIAR_HUMAN
Q92879	reviewed	CUGBP Elav-like family member 1 (CELF-1) (50 kDa nuclear polyadenylated RNA-binding protein) (Bruno-like protein 2) (CUG triplet repeat RNA-binding protein 1) (CUG-BP1) (CUG-BP- and ETR-3-like factor 1) (Deadenylation factor CUG-BP) (Embryo deadenylation element-binding protein homolog) (EDEN-BP homolog) (RNA-binding protein BRUNOL-2)	Homo sapiens (Human)	486	CELF1	CELF1_HUMAN
Q15233	reviewed	Non-POU domain-containing octamer-binding protein (NonO protein) (54 kDa nuclear RNA- and DNA-binding protein) (55 kDa nuclear protein) (DNA-binding p52/p100 complex, 52 kDa subunit) (NMT55) (p54(nrb)) (p54nrb)	Homo sapiens (Human)	471	NONO	NONO_HUMAN
Q12906	reviewed	Interleukin enhancer-binding factor 3 (Double-stranded RNA-binding protein 76) (DRBP76) (M-phase phosphoprotein 4) (MPP4) (Nuclear factor associated with dsRNA) (NFAR) (Nuclear factor of activated T-cells 90 kDa) (NF-AT-90) (Translational control protein 80) (TCP80)	Homo sapiens (Human)	894	ILF3	ILF3_HUMAN
P78527	reviewed	DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1) (DNPK1) (p460)	Homo sapiens (Human)	4128	PRKDC	PRKDC_HUMAN
Q13148	reviewed	TAR DNA-binding protein 43 (TDP-43)	Homo sapiens (Human)	414	TARDBP	TADBP_HUMAN
Q8TDD1	reviewed	ATP-dependent RNA helicase DDX54 (EC 3.6.4.13) (ATP-dependent RNA helicase DP97) (DEAD box RNA helicase 97 kDa) (DEAD box protein 54)	Homo sapiens (Human)	881	DDX54	DDX54_HUMAN
Q13283	reviewed	Ras GTPase-activating protein-binding protein 1 (G3BP-1) (EC 3.6.4.12) (EC 3.6.4.13) (ATP-dependent DNA helicase VIII) (hDH VIII) (GAP SH3 domain-binding protein 1)	Homo sapiens (Human)	466	G3BP1	G3BP1_HUMAN
Q14157	reviewed	Ubiquitin-associated protein 2-like (Protein NICE-4)	Homo sapiens (Human)	1087	UBAP2L	UBP2L_HUMAN
Q96T58	reviewed	Msx2-interacting protein (SMART/HDAC1-associated repressor protein) (SPEN homolog)	Homo sapiens (Human)	3664	SPEN	MINT_HUMAN
Q5JTH9	reviewed	RRP12-like protein	Homo sapiens (Human)	1297	RRP12	RRP12_HUMAN
Q14103	reviewed	Heterogeneous nuclear ribonucleoprotein D0 (hnRNP D0) (AU-rich element RNA-binding protein 1)	Homo sapiens (Human)	355	HNRNPD	HNRPD_HUMAN
Q9UKM9	reviewed	RNA-binding protein Raly (Autoantigen p542) (Heterogeneous nuclear ribonucleoprotein C-like 2) (hnRNP core protein C-like 2) (hnRNP associated with lethal yellow protein homolog)	Homo sapiens (Human)	306	RALY	RALY_HUMAN
P16989	reviewed	Y-box-binding protein 3 (Cold shock domain-containing protein A) (DNA-binding protein A) (Single-strand DNA-binding protein NF-GMB)	Homo sapiens (Human)	372	YBX3	YBOX3_HUMAN
P14866	reviewed	Heterogeneous nuclear ribonucleoprotein L (hnRNP L)	Homo sapiens (Human)	589	HNRNPL	HNRPL_HUMAN
P16403	reviewed	Histone H1.2 (Histone H1c) (Histone H1d) (Histone H1s-1)	Homo sapiens (Human)	213	HIST1H1C	H12_HUMAN
P23588	reviewed	Eukaryotic translation initiation factor 4B (eIF-4B)	Homo sapiens (Human)	611	EIF4B	IF4B_HUMAN
Q15269	reviewed	Periodic tryptophan protein 2 homolog	Homo sapiens (Human)	919	PWP2	PWP2_HUMAN
Q04637	reviewed	Eukaryotic translation initiation factor 4 gamma 1 (eIF-4-gamma 1) (eIF-4G 1) (eIF-4G1) (p220)	Homo sapiens (Human)	1599	EIF4G1	IF4G1_HUMAN
Q96PK6	reviewed	RNA-binding protein 14 (Paraspeckle protein 2) (PSP2) (RNA-binding motif protein 14) (RRM-containing coactivator activator/modulator) (Synaptotagmin-interacting protein) (SYT-interacting protein)	Homo sapiens (Human)	669	RBM14	RBM14_HUMAN
Q9P2E9	reviewed	Ribosome-binding protein 1 (180 kDa ribosome receptor homolog) (RRp) (ES/130-related protein) (Ribosome receptor protein)	Homo sapiens (Human)	1410	RRBP1	RRBP1_HUMAN
Q9BVJ6	reviewed	U3 small nucleolar RNA-associated protein 14 homolog A (Antigen NY-CO-16) (Serologically defined colon cancer antigen 16)	Homo sapiens (Human)	771	UTP14A	UT14A_HUMAN
Q9Y4C8	reviewed	Probable RNA-binding protein 19 (RNA-binding motif protein 19)	Homo sapiens (Human)	960	RBM19	RBM19_HUMAN
P38159	reviewed	RNA-binding motif protein, X chromosome (Glycoprotein p43) (Heterogeneous nuclear ribonucleoprotein G) (hnRNP G) [Cleaved into: RNA-binding motif protein, X chromosome, N-terminally processed]	Homo sapiens (Human)	391	RBMX	RBMX_HUMAN
Q9UQ35	reviewed	Serine/arginine repetitive matrix protein 2 (300 kDa nuclear matrix antigen) (Serine/arginine-rich splicing factor-related nuclear matrix protein of 300 kDa) (SR-related nuclear matrix protein of 300 kDa) (Ser/Arg-related nuclear matrix protein of 300 kDa) (Splicing coactivator subunit SRm300) (Tax-responsive enhancer element-binding protein 803) (TaxREB803)	Homo sapiens (Human)	2752	SRRM2	SRRM2_HUMAN
P17844	reviewed	Probable ATP-dependent RNA helicase DDX5 (EC 3.6.4.13) (DEAD box protein 5) (RNA helicase p68)	Homo sapiens (Human)	614	DDX5	DDX5_HUMAN
P26368	reviewed	Splicing factor U2AF 65 kDa subunit (U2 auxiliary factor 65 kDa subunit) (hU2AF(65)) (hU2AF65) (U2 snRNP auxiliary factor large subunit)	Homo sapiens (Human)	475	U2AF2	U2AF2_HUMAN
Q15366	reviewed	Poly(rC)-binding protein 2 (Alpha-CP2) (Heterogeneous nuclear ribonucleoprotein E2) (hnRNP E2)	Homo sapiens (Human)	365	PCBP2	PCBP2_HUMAN
Q8TB72	reviewed	Pumilio homolog 2 (Pumilio-2)	Homo sapiens (Human)	1066	PUM2	PUM2_HUMAN
Q02878	reviewed	60S ribosomal protein L6 (Large ribosomal subunit protein eL6) (Neoplasm-related protein C140) (Tax-responsive enhancer element-binding protein 107) (TaxREB107)	Homo sapiens (Human)	288	RPL6	RL6_HUMAN
Q9HCE1	reviewed	Putative helicase MOV-10 (EC 3.6.4.13) (Armitage homolog) (Moloney leukemia virus 10 protein)	Homo sapiens (Human)	1003	MOV10	MOV10_HUMAN
Q9NW13	reviewed	RNA-binding protein 28 (RNA-binding motif protein 28)	Homo sapiens (Human)	759	RBM28	RBM28_HUMAN
B5ME19	reviewed	Eukaryotic translation initiation factor 3 subunit C-like protein	Homo sapiens (Human)	914	EIF3CL	EIFCL_HUMAN
P62917	reviewed	60S ribosomal protein L8 (Large ribosomal subunit protein uL2)	Homo sapiens (Human)	257	RPL8	RL8_HUMAN
Q7Z2W4	reviewed	Zinc finger CCCH-type antiviral protein 1 (ADP-ribosyltransferase diphtheria toxin-like 13) (ARTD13) (Zinc finger CCCH domain-containing protein 2) (Zinc finger antiviral protein) (ZAP)	Homo sapiens (Human)	902	ZC3HAV1	ZCCHV_HUMAN
Q12905	reviewed	Interleukin enhancer-binding factor 2 (Nuclear factor of activated T-cells 45 kDa)	Homo sapiens (Human)	390	ILF2	ILF2_HUMAN
O75369	reviewed	Filamin-B (FLN-B) (ABP-278) (ABP-280 homolog) (Actin-binding-like protein) (Beta-filamin) (Filamin homolog 1) (Fh1) (Filamin-3) (Thyroid autoantigen) (Truncated actin-binding protein) (Truncated ABP)	Homo sapiens (Human)	2602	FLNB	FLNB_HUMAN
Q8IY81	reviewed	pre-rRNA processing protein FTSJ3 (EC 2.1.1.-) (2'-O-ribose RNA methyltransferase SPB1 homolog) (Protein ftsJ homolog 3) (Putative rRNA methyltransferase 3)	Homo sapiens (Human)	847	FTSJ3	SPB1_HUMAN
P31942	reviewed	Heterogeneous nuclear ribonucleoprotein H3 (hnRNP H3) (Heterogeneous nuclear ribonucleoprotein 2H9) (hnRNP 2H9)	Homo sapiens (Human)	346	HNRNPH3	HNRH3_HUMAN
Q96GQ7	reviewed	Probable ATP-dependent RNA helicase DDX27 (EC 3.6.4.13) (DEAD box protein 27)	Homo sapiens (Human)	796	DDX27	DDX27_HUMAN
O60287	reviewed	Nucleolar pre-ribosomal-associated protein 1 (Nucleolar protein 254 kDa) (URB1 ribosome biogenesis 1 homolog)	Homo sapiens (Human)	2271	URB1	NPA1P_HUMAN
Q9Y6M1	reviewed	Insulin-like growth factor 2 mRNA-binding protein 2 (IGF2 mRNA-binding protein 2) (IMP-2) (Hepatocellular carcinoma autoantigen p62) (IGF-II mRNA-binding protein 2) (VICKZ family member 2)	Homo sapiens (Human)	599	IGF2BP2	IF2B2_HUMAN
P62805	reviewed	Histone H4	Homo sapiens (Human)	103	HIST1H4A; HIST1H4B; HIST1H4C; HIST1H4D; HIST1H4E; HIST1H4F; HIST1H4H; HIST1H4I; HIST1H4J; HIST1H4K; HIST1H4L; HIST2H4A; HIST2H4B; HIST4H4	H4_HUMAN
Q03701	reviewed	CCAAT/enhancer-binding protein zeta (CCAAT-box-binding transcription factor) (CBF) (CCAAT-binding factor)	Homo sapiens (Human)	1054	CEBPZ	CEBPZ_HUMAN
Q7L2E3	reviewed	ATP-dependent RNA helicase DHX30 (EC 3.6.4.13) (DEAH box protein 30)	Homo sapiens (Human)	1194	DHX30	DHX30_HUMAN
Q96T37	reviewed	RNA-binding protein 15 (One-twenty two protein 1) (RNA-binding motif protein 15)	Homo sapiens (Human)	977	RBM15	RBM15_HUMAN
P23396	reviewed	40S ribosomal protein S3 (EC 4.2.99.18) (Small ribosomal subunit protein uS3)	Homo sapiens (Human)	243	RPS3	RS3_HUMAN
O00567	reviewed	Nucleolar protein 56 (Nucleolar protein 5A)	Homo sapiens (Human)	594	NOP56	NOP56_HUMAN
Q99879	reviewed	Histone H2B type 1-M (Histone H2B.e) (H2B/e)	Homo sapiens (Human)	126	HIST1H2BM	H2B1M_HUMAN
P39023	reviewed	60S ribosomal protein L3 (HIV-1 TAR RNA-binding protein B) (TARBP-B) (Large ribosomal subunit protein uL3)	Homo sapiens (Human)	403	RPL3	RL3_HUMAN
P14678	reviewed	Small nuclear ribonucleoprotein-associated proteins B and B' (snRNP-B) (Sm protein B/B') (Sm-B/B') (SmB/B')	Homo sapiens (Human)	240	SNRPB	RSMB_HUMAN
Q9BZE4	reviewed	Nucleolar GTP-binding protein 1 (Chronic renal failure gene protein) (GTP-binding protein NGB)	Homo sapiens (Human)	634	GTPBP4	NOG1_HUMAN
P18583	reviewed	Protein SON (Bax antagonist selected in saccharomyces 1) (BASS1) (Negative regulatory element-binding protein) (NRE-binding protein) (Protein DBP-5) (SON3)	Homo sapiens (Human)	2426	SON	SON_HUMAN
Q08170	reviewed	Serine/arginine-rich splicing factor 4 (Pre-mRNA-splicing factor SRP75) (SRP001LB) (Splicing factor, arginine/serine-rich 4)	Homo sapiens (Human)	494	SRSF4	SRSF4_HUMAN
P46777	reviewed	60S ribosomal protein L5 (Large ribosomal subunit protein uL18)	Homo sapiens (Human)	297	RPL5	RL5_HUMAN
P55265	reviewed	Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (136 kDa double-stranded RNA-binding protein) (p136) (Interferon-inducible protein 4) (IFI-4) (K88DSRBP)	Homo sapiens (Human)	1226	ADAR	DSRAD_HUMAN
P31483	reviewed	Nucleolysin TIA-1 isoform p40 (RNA-binding protein TIA-1) (T-cell-restricted intracellular antigen-1) (TIA-1) (p40-TIA-1)	Homo sapiens (Human)	386	TIA1	TIA1_HUMAN
P68104	reviewed	Elongation factor 1-alpha 1 (EF-1-alpha-1) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1) (Leukocyte receptor cluster member 7)	Homo sapiens (Human)	462	EEF1A1	EF1A1_HUMAN
Q6Y7W6	reviewed	GRB10-interacting GYF protein 2 (PERQ amino acid-rich with GYF domain-containing protein 2) (Trinucleotide repeat-containing gene 15 protein)	Homo sapiens (Human)	1299	GIGYF2	GGYF2_HUMAN
Q9NY93	reviewed	Probable ATP-dependent RNA helicase DDX56 (EC 3.6.4.13) (ATP-dependent 61 kDa nucleolar RNA helicase) (DEAD box protein 21) (DEAD box protein 56)	Homo sapiens (Human)	547	DDX56	DDX56_HUMAN
Q15032	reviewed	R3H domain-containing protein 1	Homo sapiens (Human)	1099	R3HDM1	R3HD1_HUMAN
P35637	reviewed	RNA-binding protein FUS (75 kDa DNA-pairing protein) (Oncogene FUS) (Oncogene TLS) (POMp75) (Translocated in liposarcoma protein)	Homo sapiens (Human)	526	FUS	FUS_HUMAN
Q8WWM7	reviewed	Ataxin-2-like protein (Ataxin-2 domain protein) (Ataxin-2-related protein)	Homo sapiens (Human)	1075	ATXN2L	ATX2L_HUMAN
